web-scraper-order,web-scraper-start-url,openSecretsId,openSecretsId-href,name,nameDistrict,reportDate,raised,image-src
"1592861947-101","https://www.thegoodparty.org/scrape/incumbents/","N00041702","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00041702","Veronica Escobar","Rep. Veronica Escobar - Texas District 16","03/31/2020","$668,678","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1592861767-62","https://www.thegoodparty.org/scrape/incumbents/","N00025482","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00025482","Dutch Ruppersberger","Rep. Dutch Ruppersberger - Maryland District 02","05/13/2020","$699,471","https://cdn1.opensecrets.org/congress-members/photos/N00025482.jpg"
"1592861846-79","https://www.thegoodparty.org/scrape/incumbents/","N00008799","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00008799","Kay Granger","Rep. Kay Granger - Texas District 12","03/31/2020","$3,122,908","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1592862407-193","https://www.thegoodparty.org/scrape/incumbents/","N00031559","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00031559","Jaime Herrera Beutler","Rep. Jaime Herrera Beutler - Washington District 03","03/31/2020","$2,153,460","https://cdn1.opensecrets.org/congress-members/photos/N00031559.jpg"
"1592861564-6","https://www.thegoodparty.org/scrape/incumbents/","N00035523","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00035523","Elise Stefanik","Rep. Elise Stefanik - New York District 21","06/03/2020","$7,542,962","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1592862885-317","https://www.thegoodparty.org/scrape/incumbents/","N00035492","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00035492","Thom Tillis","Sen. Thom Tillis - North Carolina","06/09/2020","$13,086,012","https://cdn1.opensecrets.org/congress-members/photos/N00035492.jpg"
"1592862019-116","https://www.thegoodparty.org/scrape/incumbents/","N00039503","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00039503","Matt Gaetz","Rep. Matt Gaetz - Florida District 01","03/31/2020","$1,610,949","https://cdn1.opensecrets.org/congress-members/photos/N00039503.jpg"
"1592862780-289","https://www.thegoodparty.org/scrape/incumbents/","N00039551","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00039551","Ted Budd","Rep. Ted Budd - North Carolina District 13","03/31/2020","$1,537,994","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1592862529-224","https://www.thegoodparty.org/scrape/incumbents/","N00030752","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00030752","Jeff Duncan","Rep. Jeff Duncan - South Carolina District 03","05/20/2020","$904,369","https://cdn1.opensecrets.org/congress-members/photos/N00030752.jpg"
"1592862770-286","https://www.thegoodparty.org/scrape/incumbents/","N00041464","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00041464","Gil Cisneros","Rep. Gil Cisneros - California District 39","03/31/2020","$1,903,129","https://cdn1.opensecrets.org/congress-members/photos/N00041464.jpg"
"1592862877-315","https://www.thegoodparty.org/scrape/incumbents/","N00030957","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00030957","Scott Desjarlais","Rep. Scott Desjarlais - Tennessee District 04","03/31/2020","$216,913","https://cdn1.opensecrets.org/congress-members/photos/N00030957.jpg"
"1592863030-354","https://www.thegoodparty.org/scrape/incumbents/","N00002674","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00002674","Sanford Bishop","Rep. Sanford Bishop - Georgia District 02","05/20/2020","$816,902","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1592862028-118","https://www.thegoodparty.org/scrape/incumbents/","N00026106","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00026106","Debbie Wasserman Schultz","Rep. Debbie Wasserman Schultz - Florida District 23","03/31/2020","$1,742,707","https://cdn1.opensecrets.org/congress-members/photos/N00026106.jpg"
"1592862474-210","https://www.thegoodparty.org/scrape/incumbents/","N00038858","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00038858","Pramila Jayapal","Rep. Pramila Jayapal - Washington District 07","03/31/2020","$2,490,012","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1592862595-240","https://www.thegoodparty.org/scrape/incumbents/","N00033373","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00033373","Tony Cardenas","Rep. Tony Cardenas - California District 29","03/31/2020","$979,647","https://cdn1.opensecrets.org/congress-members/photos/N00033373.jpg"
"1592862174-145","https://www.thegoodparty.org/scrape/incumbents/","N00030642","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00030642","Al Lawson","Rep. Al Lawson - Florida District 05","03/31/2020","$336,611","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1592862200-150","https://www.thegoodparty.org/scrape/incumbents/","N00026914","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00026914","Gwen Moore","Rep. Gwen Moore - Wisconsin District 04","03/31/2020","$941,088","https://cdn1.opensecrets.org/congress-members/photos/N00026914.jpg"
"1592861960-104","https://www.thegoodparty.org/scrape/incumbents/","N00042240","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00042240","Ron Wright","Rep. Ron Wright - Texas District 06","03/31/2020","$497,085","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1592862898-320","https://www.thegoodparty.org/scrape/incumbents/","N00029891","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00029891","Gerry Connolly","Rep. Gerry Connolly - Virginia District 11","06/03/2020","$1,577,063","https://cdn1.opensecrets.org/congress-members/photos/N00029891.jpg"
