web-scraper-order,web-scraper-start-url,openSecretsId,openSecretsId-href,name,nameDistrict,reportDate,raised,image-src
"1586560722-1427","http://localhost:4000/scrape/incumbents/","N00013817","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00013817","Chellie Pingree","Rep. Chellie Pingree - Maine District 01","12/31/2019","$194,440","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586561231-1641","http://localhost:4000/scrape/incumbents/","N00039953","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00039953","Clay Higgins","Rep. Clay Higgins - Louisiana District 03","12/31/2019","$436,859","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586561308-1671","http://localhost:4000/scrape/incumbents/","N00033030","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00033030","Jared Huffman","Rep. Jared Huffman - California District 02","02/12/2020","$607,101","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586561491-1748","http://localhost:4000/scrape/incumbents/","N00030673","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00030673","Bill Huizenga","Rep. Bill Huizenga - Michigan District 02","12/31/2019","$1,029,013","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586561114-1593","http://localhost:4000/scrape/incumbents/","N00031857","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00031857","Steve Womack","Rep. Steve Womack - Arkansas District 03","02/12/2020","$554,975","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586560881-1496","http://localhost:4000/scrape/incumbents/","N00043421","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00043421","Jahana Hayes","Rep. Jahana Hayes - Connecticut District 05","12/31/2019","$854,578","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586560669-1402","http://localhost:4000/scrape/incumbents/","N00033630","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00033630","Richard Hudson","Rep. Richard Hudson - North Carolina District 08","02/12/2020","$1,865,635","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586561646-1815","http://localhost:4000/scrape/incumbents/","N00009759","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00009759","Rick Larsen","Rep. Rick Larsen - Washington District 02","12/31/2019","$611,242","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586561151-1608","http://localhost:4000/scrape/incumbents/","N00035267","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00035267","Cory Booker","Sen. Cory Booker - New Jersey","12/31/2019","$9,632,387","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586560841-1479","http://localhost:4000/scrape/incumbents/","N00030196","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00030196","Paul Tonko","Rep. Paul Tonko - New York District 20","12/31/2019","$796,133","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586561496-1750","http://localhost:4000/scrape/incumbents/","N00007360","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00007360","Nancy Pelosi","Rep. Nancy Pelosi - California District 12","02/12/2020","$10,256,178","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586561362-1692","http://localhost:4000/scrape/incumbents/","N00036403","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00036403","Dan Newhouse","Rep. Dan Newhouse - Washington District 04","12/31/2019","$529,124","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586561319-1675","http://localhost:4000/scrape/incumbents/","N00029441","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00029441","James E Risch","Sen. James E Risch - Idaho","12/31/2019","$2,093,505","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586561029-1559","http://localhost:4000/scrape/incumbents/","N00007833","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00007833","Adam Smith","Rep. Adam Smith - Washington District 09","12/31/2019","$816,691","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586561214-1634","http://localhost:4000/scrape/incumbents/","N00030191","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00030191","Dina Titus","Rep. Dina Titus - Nevada District 01","12/31/2019","$451,205","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586560806-1464","http://localhost:4000/scrape/incumbents/","N00028133","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00028133","Douglas L Lamborn","Rep. Douglas L Lamborn - Colorado District 05","12/31/2019","$243,200","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586561036-1562","http://localhost:4000/scrape/incumbents/","N00039090","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00039090","Drew Ferguson","Rep. Drew Ferguson - Georgia District 03","12/31/2019","$1,415,364","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586560714-1423","http://localhost:4000/scrape/incumbents/","N00041750","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00041750","Greg Stanton","Rep. Greg Stanton - Arizona District 09","12/31/2019","$884,409","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
