web-scraper-order,web-scraper-start-url,link,link-href,name,raised,smallIndividual,largeContributions,pac,selfFinancing,other
"1582360811-89","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX07&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX07&spec=N","Wesley Hunt (R)","1,888,463","141,288","1,596,425","$157,650","0","6,900"
"1582360852-141","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX13&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX13&spec=N","Ronny Jackson (R)","183,356","11,231","155,850","$13,000","3,775","500"
"1582360840-125","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=CA22&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=CA22&spec=N","Phil Arballo (D)","1,075,199","681,847","385,254","$21,554","0","13,456"
"1582360778-46","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=FL12&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=FL12&spec=N","Zachary Smith (R)","500","0","0","$0","500","0"
"1582361352-707","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=KSS1&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=KSS1&spec=N","Usha Reddi (D)","104,003","22,530","81,673","$0","0","200"
"1582360970-309","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX16&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX16&spec=N","Anthony Aguero (R)","3,302","1,836","0","$0","1,466","0"
"1582361103-471","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=MI03&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=MI03&spec=N","Andrew Jackson Willis (R)","21,975","5,795","0","$0","16,000","180"
"1582361460-816","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=IN05&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=IN05&spec=N","Beth Elaine Henderson (R)","196,874","3,190","114,084","$0","79,600","0"
"1582361103-470","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=MI03&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=MI03&spec=N","Tom Norton (R)","23,318","7,508","4,900","$0","10,910","0"
"1582361419-775","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=NY14&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=NY14&spec=N","Antoine Tucker (R)","20,351","16,551","3,800","$0","0","0"
"1582360885-207","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=VA03&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=VA03&spec=N","John Collick (R)","7,511","0","5,190","$0","2,321","5,190"
"1582361393-750","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX23&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX23&spec=N","Rosey Abuabara (D)","16,218","0","1,700","$0","14,518","0"
"1582361393-751","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX23&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX23&spec=N","Jaime Escuder (D)","9,803","2,985","6,350","$250","218","0"
"1582361455-806","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=MN05&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=MN05&spec=N","Antone Melton-Meaux (D)","260,126","9,251","173,075","$0","77,800","0"
"1582361593-940","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=UT04&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=UT04&spec=N","Kim Coleman (R)","220,646","27,496","183,150","$10,000","0","0"
"1582361376-733","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=OH04&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=OH04&spec=N","Jeffrey Sites (D)","155,397","107,318","51,860","$500","0","4,281"
"1582361090-446","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=UT02&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=UT02&spec=N","Carson Jorgensen (R)","988","998","0","$0","0","10"
"1582361291-638","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=ALS1&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=ALS1&spec=N","Arnold Mooney (R)","915,404","469,238","427,666","$18,500","0","0"
"1582360840-128","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=CA22&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=CA22&spec=N","Eric Garcia (I)","2,831","541","500","$0","1,790","0"
"1582361212-576","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=NY27&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=NY27&spec=N","Nate McMurray (D)","334,630","81,180","233,200","$20,250","0","0"
"1582360852-143","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX13&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX13&spec=N","Elaine Hays (R)","116,141","4,515","63,070","$200","48,857","500"
"1582360903-216","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=CO06&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=CO06&spec=N","Casper Stockham (R)","22,608","11,773","10,835","$0","0","0"
"1582361398-757","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=MSS1&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=MSS1&spec=N","Tobey Bartee (D)","4,058","2,769","1,289","$0","0","0"
"1582361711-1071","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=AL04&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=AL04&spec=N","Rick Neighbors (D)","4,872","780","4,092","$0","0","0"
"1582360782-48","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=IL03&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=IL03&spec=N","Marie Newman (D)","1,188,020","441,617","697,481","$54,160","3,778","9,015"
"1582361078-425","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=NV04&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=NV04&spec=N","Jim Marchant (R)","333,042","22,886","200,056","$0","110,100","0"
"1582360935-252","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=NY24&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=NY24&spec=N","Dana Balter (D)","519,225","137,800","361,905","$12,845","0","6,676"
"1582361651-1012","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=NC06&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=NC06&spec=N","Rhonda Foxx (D)","130,773","18,000","101,473","$11,300","0","0"
"1582361403-758","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=CA52&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=CA52&spec=N","James Debello (R)","290,890","3,490","37,400","$0","0","250,000"
"1582360852-147","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX13&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX13&spec=N","Richard Herman (R)","3,500","0","0","$0","3,500","0"
"1582361407-761","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=FL20&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=FL20&spec=N","Greg Musselwhite (R)","5,456","1,050","2,700","$0","0","1,706"
"1582361732-1102","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=IL07&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=IL07&spec=N","Anthony Clark (D)","71,018","44,919","27,248","$0","0","1,150"
