web-scraper-order,web-scraper-start-url,link,link-href,name,raised,smallIndividual,largeContributions,pac,selfFinancing,other
"1582361201-564","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=WA06&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=WA06&spec=N","Rebecca Parson (D)","77,624","41,032","33,928","$0","0","2,665"
"1582361716-1082","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=MD07&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=MD07&spec=N","Leslie Grant (D)","10,838","15","548","$0","10,275","0"
"1582360792-61","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX34&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX34&spec=N","Rey Gonzalez (R)","10,192","1,509","4,900","$0","3,783","0"
"1582360910-224","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX12&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX12&spec=N","Lisa Welch (D)","40,600","5,397","3,627","$0","30,500","1,076"
"1582361597-949","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=PA01&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=PA01&spec=N","Christina Finello (D)","81,050","19,985","59,915","$1,150","0","0"
"1582361421-779","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=VA11&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=VA11&spec=N","Stevan Porter (L)","473","5","0","$0","398","70"
"1582361640-994","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=ORS1&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=ORS1&spec=N","Jo Rae Perkins (R)","10,676","1,097","2,700","$0","6,733","146"
"1582361716-1075","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=MD07&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=MD07&spec=N","Saafir Rabb (D)","217,274","9,081","208,193","$0","0","0"
"1582361478-846","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=CA32&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=CA32&spec=N","Joshua Scott (R)","2,200","200","2,000","$0","0","0"
"1582360804-76","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=GA07&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=GA07&spec=N","Richard McCormick (R)","665,959","4,800","118,830","$12,500","518,930","10,900"
"1582361215-580","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=NJ10&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=NJ10&spec=N","Eugene Mazo (D)","5,138","1,038","4,100","$0","0","0"
"1582361340-692","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=CA34&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=CA34&spec=N","Joanne Wright (R)","19,535","100","4,035","$0","0","15,400"
"1582361460-818","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=IN05&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=IN05&spec=N","Micah Beckwith (R)","95,432","13,918","79,449","$0","2,066","0"
"1582361356-712","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX09&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX09&spec=N","Jon Mark Menefee (R)","31,762","4,357","11,768","$0","15,637","0"
"1582361458-812","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX21&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX21&spec=N","Wendy Davis (D)","1,837,722","405,840","1,348,081","$88,450","0","4,649"
"1582361362-717","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=NY03&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=NY03&spec=N","Michael Weinstock (D)","66,513","6,269","60,244","$0","0","0"
"1582360967-306","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=MO03&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=MO03&spec=N","Katy Geppert (D)","11,267","8,397","4,830","$0","40","2,000"
"1582361636-989","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=OR03&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=OR03&spec=N","Dane Wilcox (D)","100","100","0","$0","0","0"
"1582361393-747","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX23&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX23&spec=N","Sharon Breckenridge Thomas (R)","23,561","4,941","18,620","$0","0","0"
"1582361617-975","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=CA12&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=CA12&spec=N","Agatha Bacelar (I)","67,518","22,334","36,001","$0","9,110","73"
"1582360804-84","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=GA07&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=GA07&spec=N","Marqus Cole (D)","60,718","11,803","48,915","$0","0","0"
"1582361419-770","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=NY14&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=NY14&spec=N","John C. Cummings (R)","895,948","650,086","245,862","$0","0","0"
"1582361103-465","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=MI03&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=MI03&spec=N","Joel Langlois (R)","459,081","8,124","50,957","$0","400,000","0"
"1582361070-398","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX17&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX17&spec=N","Trent Sutton (R)","82,057","6,087","15,970","$0","60,000","0"
"1582361548-911","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX26&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX26&spec=N","Jason Mrochek (R)","32,784","5,529","26,030","$1,000","225","0"
"1582360825-106","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX19&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX19&spec=N","Tom Watson (D)","1,724","24","1,700","$0","0","0"
"1582361301-646","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=FL09&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=FL09&spec=N","William Olson (R)","50,117","26,817","14,700","$0","8,600","0"
"1582361677-1038","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=FL21&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=FL21&spec=N","Christian Acosta (R)","23,625","7,615","13,010","$0","3,000","0"
"1582361497-863","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=CA50&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=CA50&spec=N","Marisa Calderon (D)","102,833","11,958","78,475","$2,500","10,000","100"
"1582361460-823","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=IN05&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=IN05&spec=N","Matt Hook (R)","10,610","110","500","$0","10,000","0"
"1582361473-842","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=NY01&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=NY01&spec=N","Bridget Fleming (D)","238,945","30,295","206,550","$2,250","0","150"
"1582361113-482","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=CA29&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=CA29&spec=N","Angelica Duenas (3)","9,842","3,395","4,000","$600","1,847","0"
"1582360796-66","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=AZS1&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=AZS1&spec=N","Mark Kelly (D)","20,107,198","9,223,058","10,256,827","$306,343","0","320,970"
"1582361212-577","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=NY27&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=NY27&spec=N","Rob Ortt (R)","206,565","16,373","120,417","$18,775","55,000","4,000"
"1582361257-603","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=NC11&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=NC11&spec=N","David Madison Cawthorn (R)","323,246","5,849","24,073","$0","293,324","0"
"1582361111-480","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=AZ01&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=AZ01&spec=N","Nolan Reidhead (R)","52,241","4,320","21,200","$0","26,721","0"
"1582361329-684","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=FL27&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=FL27&spec=N","Michael Hepburn (D)","1,300","1,030","270","$0","0","0"
"1582361304-648","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=OK05&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=OK05&spec=N","Terry Neese (R)","811,956","18,600","331,606","$12,500","450,000","750"
"1582361409-766","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=FL18&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=FL18&spec=N","Nicholas Vessio (R)","46,176","176","250","$0","45,750","0"
"1582361011-345","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=NJ11&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=NJ11&spec=N","Rosemary Becchi (R)","476,781","8,898","252,800","$25,500","189,583","0"
"1582361718-1087","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=MA06&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=MA06&spec=N","Nathaniel Mulcahy (D)","8,740","288","1,450","$0","7,000","3"
"1582361498-866","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=WVS2&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=WVS2&spec=N","Richard Ojeda (D)","15,365","0","0","$0","0","15,365"
"1582361600-959","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX18&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX18&spec=N","Ava Pate (R)","3,612","1,305","2,125","$0","182","0"
"1582360852-140","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX13&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX13&spec=N","Josh Winegarner (R)","501,765","18,676","428,441","$54,648","0","0"
"1582361579-930","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=MS04&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=MS04&spec=N","Carl Boyanton (R)","17,411","636","750","$0","16,025","0"
"1582361542-904","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=OH11&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=OH11&spec=N","Jonah Schulz (R)","1,353","1,250","3","$100","0","0"
"1582361677-1037","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=FL21&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=FL21&spec=N","Aaron Scanlan (R)","44,190","4,690","8,500","$0","31,000","0"
"1582361093-449","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=NY11&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=NY11&spec=N","Joey Saladino (R)","65,529","23,693","15,801","$0","23,010","3,025"
"1582361201-565","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=WA06&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=WA06&spec=N","Elizabeth Kreiselmaier (R)","10,867","980","9,100","$0","787","0"
"1582361726-1097","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=MES2&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=MES2&spec=N","Lisa Savage (3)","24,535","11,442","11,755","$0","1,339","0"
"1582361726-1095","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=MES2&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=MES2&spec=N","Betsy Sweet (D)","271,877","149,070","119,454","$3,288","200","134"
"1582360897-213","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=CA01&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=CA01&spec=N","Audrey Denney (D)","850,409","324,881","512,646","$16,700","0","3,818"
"1582361174-539","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=IL01&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=IL01&spec=N","Robert Emmons Jr. (D)","80,368","39,742","40,576","$50","0","0"
"1582361659-1020","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=VA07&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=VA07&spec=N","John McGuire (R)","165,092","4,942","160,050","$100","0","0"
"1582361145-515","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=MN02&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=MN02&spec=N","Rick Olson (R)","102,927","1,721","5,550","$0","95,660","4"
"1582361488-854","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=MI11&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=MI11&spec=N","Whittney Williams (R)","57,023","12,475","19,375","$0","25,173","0"
"1582361075-416","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=TXS1&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=TXS1&spec=N","Michael Cooper (D)","10,229","2,729","2,500","$0","0","5,000"
"1582361086-440","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=KS03&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=KS03&spec=N","Sara Hart Weir (R)","356,081","16,847","235,811","$53,600","51,822","2,000"
"1582361370-728","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=MT01&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=MT01&spec=N","Debra Lamm (R)","45,241","1,692","34,550","$2,000","6,999","0"
"1582361775-1141","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=CA41&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=CA41&spec=N","Aja Smith (R)","4,482","2,532","500","$0","1,450","0"
"1582361649-1007","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=VA05&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=VA05&spec=N","Cameron Webb (D)","329,096","58,717","264,789","$3,000","4,200","1,610"
"1582360965-301","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=NJ05&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=NJ05&spec=N","John McCann (R)","126,553","24,307","44,530","$0","57,716","0"
"1582361236-594","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=TNS2&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=TNS2&spec=N","Johnny Presley (R)","13,500","0","5,500","$0","8,000","0"
"1582361718-1084","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=MA06&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=MA06&spec=N","Jamie Zahlaway Belsito (D)","42,979","17,039","25,740","$0","200","0"
"1582361451-804","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=MN03&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=MN03&spec=N","Gary Heyer (I)","827","210","250","$0","367","0"
"1582360915-228","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=WI08&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=WI08&spec=N","Amanda Stuck (D)","119,661","56,095","63,002","$564","0","0"
"1582360972-310","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX15&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX15&spec=N","Monica De La Cruz Hernandez (R)","142,615","13,115","38,500","$0","91,000","0"
"1582361579-931","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=MS04&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=MS04&spec=N","Samuel Hickman (R)","10,230","100","10,130","$0","0","0"
"1582360874-188","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=NY16&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=NY16&spec=N","Andom Ghebreghiorgis (D)","88,927","43,571","45,306","$0","50","0"
"1582361507-876","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=IAS2&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=IAS2&spec=N","Suzanne Herzog (I)","11,444","233","0","$0","11,211","0"
"1582361304-652","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=OK05&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=OK05&spec=N","Merideth Vansant (R)","53,122","6,822","46,300","$0","0","0"
"1582361419-771","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=NY14&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=NY14&spec=N","Scherie Murray (R)","560,897","425,027","127,870","$8,000","0","0"
"1582361195-559","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=NY22&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=NY22&spec=N","Claudia Tenney (R)","286,050","32,699","208,690","$60,000","0","15,340"
"1582361652-1015","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=CA03&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=CA03&spec=N","Sean Feucht (R)","282,109","47,671","235,012","$5,000","0","5,575"
"1582361744-1111","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=NJ02&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=NJ02&spec=N","David Richter (R)","652,980","2,830","144,650","$5,500","500,000","0"
"1582361236-590","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=TNS2&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=TNS2&spec=N","James Mackler (D)","1,228,550","243,585","967,522","$22,500","0","5,057"
"1582361719-1088","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=SDS2&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=SDS2&spec=N","Scyller Borglum (R)","24,539","2,479","9,959","$0","12,100","0"
"1582361075-412","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=TXS1&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=TXS1&spec=N","Amanda Edwards (D)","931,891","92,253","788,648","$11,199","35,000","4,790"
"1582361388-739","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=OKS2&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=OKS2&spec=N","Tammy Swearengin (R)","100,000","0","0","$0","100,000","0"
"1582361659-1019","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=VA07&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=VA07&spec=N","Nick Freitas (R)","221,371","38,096","173,275","$10,000","0","0"
"1582361669-1031","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=WI03&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=WI03&spec=N","Mark Neumann (D)","21,071","3,055","9,630","$538","7,847","1"
"1582360939-256","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=NH02&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=NH02&spec=N","Lynne Blankenbeker (R)","51,366","6,266","43,000","$2,000","100","0"
"1582360913-226","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX10&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX10&spec=N","Shannon Hutcheson (D)","748,779","46,110","656,940","$14,500","29,428","1,800"
"1582361677-1039","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=FL21&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=FL21&spec=N","Michael Blueming Jr (R)","20,345","5,098","15,167","$0","130","49"
"1582361047-372","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=MN01&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=MN01&spec=N","Ralph Kaehler (D)","47,000","2,150","44,850","$0","0","0"
"1582361562-917","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=AR04&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=AR04&spec=N","William Hanson (D)","50,631","1,881","22,650","$0","0","26,100"
"1582360942-260","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX24&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX24&spec=N","Desi Maes (R)","106,981","5,308","33,673","$0","68,000","0"
"1582361423-785","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=FL07&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=FL07&spec=N","Jan Edwards (R)","8,546","470","14,650","$0","0","6,574"
"1582360933-250","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=NY25&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=NY25&spec=N","Robin Wilt (D)","18,268","4,793","8,450","$0","5,000","25"
"1582360905-218","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=VA08&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=VA08&spec=N","Heerak Christian Kim (R)","266","100","0","$0","166","0"
"1582361193-554","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=OR02&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=OR02&spec=N","Cliff Bentz (R)","198,284","2,161","94,712","$0","101,410","1"
"1582360866-177","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=VAS2&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=VAS2&spec=N","Thomas Speciale (R)","21,097","1,047","8,050","$0","12,000","0"
"1582361380-736","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=MD02&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=MD02&spec=N","Johnny Ray Salling (R)","15,611","2,111","13,500","$0","0","0"
"1582361157-530","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=IA01&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=IA01&spec=N","Ashley Hinson (R)","1,087,580","106,385","865,395","$116,250","0","450"
"1582361744-1114","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=NJ02&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=NJ02&spec=N","Brian Fitzherbert (R)","35,312","11,917","21,095","$2,300","0","0"
"1582361593-942","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=UT04&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=UT04&spec=N","Jay Mcfarland (R)","76,467","7,106","63,575","$0","5,786","0"
"1582361751-1120","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=SCS2&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=SCS2&spec=N","Joe Reynolds (R)","58,168","1,908","5,100","$0","51,160","0"
"1582361317-660","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=NCS1&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=NCS1&spec=N","Trevor Fuller (D)","31,598","5,648","25,950","$0","0","0"
"1582360784-54","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=AL02&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=AL02&spec=N","Terri Hasdorff (R)","51,476","2,976","48,500","$0","0","0"
"1582361472-838","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=NJ04&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=NJ04&spec=N","Christine Conforti (D)","7,916","2,500","4,200","$1,000","216","0"
"1582360950-277","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX31&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX31&spec=N","Tammy Young (D)","79,472","16,845","59,637","$3,000","0","10"
"1582361120-494","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=ME02&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=ME02&spec=N","Eric Brakey (R)","508,551","44,080","454,272","$10,200","0","0"
"1582361380-735","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=MD02&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=MD02&spec=N","Genevieve Morris (R)","24,083","980","2,655","$0","13,000","7,448"
"1582360876-197","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=IL14&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=IL14&spec=N","Jerry Evans (R)","45,442","6,284","39,158","$0","0","0"
"1582361438-798","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=GA06&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=GA06&spec=N","Nicole Rodden (R)","175,490","8,262","75,027","$700","98,512","7,011"
"1582361219-583","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=UT01&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=UT01&spec=N","Jamie Cheek (D)","6,374","1,802","3,450","$0","1,122","0"
"1582360957-289","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=CA08&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=CA08&spec=N","James Ellars (D)","2,056","0","250","$0","1,806","250"
"1582361340-691","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=CA34&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=CA34&spec=N","David Kim (D)","37,456","8,071","16,185","$0","13,200","0"
