name,state,category
Designated_Market_Area_DMA,CT,Misc
City_Council_Commissioner_District,DE,City
County_Commissioner_District,DE,County
County_Supervisorial_District,DE,County
State_Senate_District,DE,State
State_House_District,DE,State
School_District,DE,Education
Designated_Market_Area_DMA,DE,Misc
Other,DE,Misc
Special_Tax_District,DE,Misc
Community_Council_District,DC,Misc
Community_Council_SubDistrict,DC,Misc
City_Council_Commissioner_District,FL,City
County_Commissioner_District,FL,County
County_Supervisorial_District,FL,County
US_Congressional_District,FL,State
State_Senate_District,FL,State
State_House_District,FL,State
School_Board_District,FL,Education
Designated_Market_Area_DMA,FL,Misc
City_Council_Commissioner_District,GA,City
County_Commissioner_District,GA,County
County_Supervisorial_District,GA,County
US_Congressional_District,GA,State
State_Senate_District,GA,State
State_House_District,GA,State
City_School_District,GA,Education
School_Board_District,GA,Education
Judicial_Circuit_Court_District,GA,Judicial
Judicial_Superior_Court_District,GA,Judicial
Water_District,GA,Water
Fire_District,GA,Fire
Designated_Market_Area_DMA,GA,Misc
Other,GA,Misc
County_Commissioner_District,HI,County
County_Supervisorial_District,HI,County
US_Congressional_District,HI,State
State_Senate_District,HI,State
State_House_District,HI,State
City_Council_Commissioner_District,ID,City
County_Commissioner_District,ID,County
County_Supervisorial_District,ID,County
US_Congressional_District,ID,State
State_Senate_District,ID,State
State_House_District,ID,State
Unified_School_District,ID,Education
Unified_School_SubDistrict,ID,Education
Fire_District,ID,Fire
Cemetery_District,ID,Misc
Community_Facilities_District,ID,Misc
Designated_Market_Area_DMA,ID,Misc
Library_District,ID,Misc
Other,ID,Misc
Road_Maintenance_District,ID,Misc
Sewer_District,ID,Misc
City_Council_Commissioner_District,IL,City
Proposed_City_Commissioner_District,IL,City
County_Commissioner_District,IL,County
County_Supervisorial_District,IL,County
US_Congressional_District,IL,State
State_Senate_District,IL,State
State_House_District,IL,State
Community_College,IL,Education
Community_College_SubDistrict,IL,Education
Educational_Service_District,IL,Education
Elementary_School_District,IL,Education
High_School_District,IL,Education
High_School_SubDistrict,IL,Education
School_District,IL,Education
School_Subdistrict,IL,Education
Judicial_Appellate_District,IL,Judicial
Judicial_Circuit_Court_District,IL,Judicial
Judicial_County_Board_of_Review_District,IL,Judicial
Judicial_Sub_Circuit_District,IL,Judicial
River_Water_District,IL,Water
Water_Conservation_District,IL,Water
Water_Conservation_SubDistrict,IL,Water
Water_District,IL,Water
Fire_District,IL,Fire
Transit_District,IL,Transit
County_Service_Area,IL,Service
Airport_District,IL,Misc
Assessment_District,IL,Misc
Cemetery_District,IL,Misc
Community_Facilities_District,IL,Misc
Community_Facilities_SubDistrict,IL,Misc
Conservation_District,IL,Misc
Designated_Market_Area_DMA,IL,Misc
Forest_Preserve,IL,Misc
Health_District,IL,Misc
Land_Commission,IL,Misc
Library_District,IL,Misc
Lighting_District,IL,Misc
Mosquito_Abatement_District,IL,Misc
Multi_township_Assessor,IL,Misc
Paramedic_District,IL,Misc
Park_Commissioner_District,IL,Misc
Park_District,IL,Misc
Park_SubDistrict,IL,Misc
Planning_Area_District,IL,Misc
Road_Maintenance_District,IL,Misc
Sanitary_District,IL,Misc
Sewer_District,IL,Misc
City_Council_Commissioner_District,IN,City
County_Commissioner_District,IN,County
County_Supervisorial_District,IN,County
US_Congressional_District,IN,State
State_Senate_District,IN,State
State_House_District,IN,State
School_Board_District,IN,Education
School_District,IN,Education
Designated_Market_Area_DMA,IN,Misc
City_Council_Commissioner_District,IA,City
County_Commissioner_District,IA,County
County_Supervisorial_District,IA,County
US_Congressional_District,IA,State
State_Senate_District,IA,State
State_House_District,IA,State
Community_College,IA,Education
Community_College_Commissioner_District,IA,Education
School_District,IA,Education
School_Subdistrict,IA,Education
Judicial_District,IA,Judicial
Water_District,IA,Water
Fire_District,IA,Fire
Designated_Market_Area_DMA,IA,Misc
Lighting_District,IA,Misc
Other,IA,Misc
Rural_Service_District,IA,Misc
Sanitary_District,IA,Misc
City_Council_Commissioner_District,KS,City
County_Commissioner_District,KS,County
County_Supervisorial_District,KS,County
US_Congressional_District,KS,State
State_Senate_District,KS,State
State_House_District,KS,State
Board_of_Education_District,KS,Education
School_District,KS,Education
Judicial_District,KS,Judicial
Designated_Market_Area_DMA,KS,Misc
City_Council_Commissioner_District,KY,City
County_Commissioner_District,KY,County
County_Supervisorial_District,KY,County
US_Congressional_District,KY,State
State_Senate_District,KY,State
State_House_District,KY,State
School_District,KY,Education
Judicial_Supreme_Court_District,KY,Judicial
Designated_Market_Area_DMA,KY,Misc
City_Council_Commissioner_District,LA,City
County_Commissioner_District,LA,County
County_Supervisorial_District,LA,County
US_Congressional_District,LA,State
State_Senate_District,LA,State
State_House_District,LA,State
School_Board_District,LA,Education
School_District,LA,Education
Superintendent_of_Schools_District,LA,Education
Judicial_Circuit_Court_District,LA,Judicial
Judicial_County_Court_District,LA,Judicial
Judicial_District_Court_District,LA,Judicial
Judicial_Sub_Circuit_District,LA,Judicial
Judicial_Supreme_Court_District,LA,Judicial
Judicial_Magistrate_Division,LA,Judicial
Water_District,LA,Water
Fire_District,LA,Fire
Cemetery_District,LA,Misc
Conservation_District,LA,Misc
Democratic_Zone,LA,Misc
Designated_Market_Area_DMA,LA,Misc
Drainage_District,LA,Misc
Flood_Control_Zone,LA,Misc
Geological_Hazard_Abatement_District,LA,Misc
Improvement_Landowner_District,LA,Misc
Law_Enforcement_District,LA,Misc
Library_District,LA,Misc
Lighting_District,LA,Misc
Mosquito_Abatement_District,LA,Misc
Other,LA,Misc
Police_District,LA,Misc
Port_District,LA,Misc
Public_Service_Commission_District,LA,Misc
Recreation_District,LA,Misc
Republican_Area,LA,Misc
Road_Maintenance_District,LA,Misc
Sewer_District,LA,Misc
Special_Tax_District,LA,Misc
City_Council_Commissioner_District,ME,City
County_Commissioner_District,ME,County
County_Supervisorial_District,ME,County
US_Congressional_District,ME,State
State_Senate_District,ME,State
State_House_District,ME,State
District_Attorney,ME,Judicial
Designated_Market_Area_DMA,ME,Misc
City_Council_Commissioner_District,MD,City
County_Commissioner_District,MD,County
County_Supervisorial_District,MD,County
US_Congressional_District,MD,State
State_Senate_District,MD,State
State_House_District,MD,State
School_District,MD,Education
Designated_Market_Area_DMA,MD,Misc
Special_Tax_District,MD,Misc
City_Council_Commissioner_District,MA,City
County_Commissioner_District,MA,County
County_Supervisorial_District,MA,County
US_Congressional_District,MA,State
State_Senate_District,MA,State
State_House_District,MA,State
Elementary_School_District,MA,Education
School_District,MA,Education
Unified_School_District,MA,Education
Designated_Market_Area_DMA,MA,Misc
City_Council_Commissioner_District,MI,City
County_Commissioner_District,MI,County
County_Supervisorial_District,MI,County
US_Congressional_District,MI,State
State_Senate_District,MI,State
State_House_District,MI,State
School_District,MI,Education
Designated_Market_Area_DMA,MI,Misc
City_Council_Commissioner_District,MN,City
County_Commissioner_District,MN,County
County_Supervisorial_District,MN,County
US_Congressional_District,MN,State
State_Senate_District,MN,State
State_House_District,MN,State
School_District,MN,Education
School_Subdistrict,MN,Education
Judicial_Circuit_Court_District,MN,Judicial
Designated_Market_Area_DMA,MN,Misc
Park_District,MN,Misc
City_Council_Commissioner_District,MS,City
Election_Commissioner_District,MS,City
County_Commissioner_District,MS,County
County_Supervisorial_District,MS,County
US_Congressional_District,MS,State
State_Senate_District,MS,State
State_House_District,MS,State
City_School_District,MS,Education
School_Board_District,MS,Education
School_District,MS,Education
District_Attorney,MS,Judicial
Judicial_Appellate_District,MS,Judicial
Judicial_Circuit_Court_District,MS,Judicial
Judicial_District_Court_District,MS,Judicial
Judicial_Supreme_Court_District,MS,Judicial
Judicial_Chancery_Court,MS,Judicial
Transit_District,MS,Transit
Designated_Market_Area_DMA,MS,Misc
Flood_Control_Zone,MS,Misc
Levee_District,MS,Misc
Police_District,MS,Misc
Public_Service_Commission_District,MS,Misc
City_Council_Commissioner_District,MO,City
Proposed_City_Commissioner_District,MO,City
County_Commissioner_District,MO,County
County_Supervisorial_District,MO,County
US_Congressional_District,MO,State
State_Senate_District,MO,State
State_House_District,MO,State
Elementary_School_District,MO,Education
Unified_School_District,MO,Education
Designated_Market_Area_DMA,MO,Misc
City_Council_Commissioner_District,MT,City
County_Commissioner_District,MT,County
County_Supervisorial_District,MT,County
US_Congressional_District,MT,State
State_Senate_District,MT,State
State_House_District,MT,State
Elementary_School_District,MT,Education
Unified_School_District,MT,Education
Designated_Market_Area_DMA,MT,Misc
City_Council_Commissioner_District,NE,City
County_Commissioner_District,NE,County
County_Supervisorial_District,NE,County
US_Congressional_District,NE,State
State_Senate_District,NE,State
State_House_District,NE,State
Community_College,NE,Education
Community_College_SubDistrict,NE,Education
Board_of_Education_District,NE,Education
Education_Commission_District,NE,Education
Educational_Service_District,NE,Education
High_School_District,NE,Education
School_District,NE,Education
School_Subdistrict,NE,Education
