"county","county_ascii","county_full","county_fips","state_id","state_name","city_largest","city_largest_id","lat","lng","population","density","timezone","timezone_all","age_median","age_under_10","age_10_to_19","age_20s","age_30s","age_40s","age_50s","age_60s","age_70s","age_over_80","male","female","married","divorced","never_married","widowed","family_size","family_dual_income","income_household_median","income_household_under_5","income_household_5_to_10","income_household_10_to_15","income_household_15_to_20","income_household_20_to_25","income_household_25_to_35","income_household_35_to_50","income_household_50_to_75","income_household_75_to_100","income_household_100_to_150","income_household_150_over","income_household_six_figure","income_individual_median","home_ownership","home_value","rent_median","rent_burden","education_less_highschool","education_highschool","education_some_college","education_bachelors","education_graduate","education_college_or_above","education_stem_degree","labor_force_participation","labor_force","labor_force_average","unemployment_rate","unemployment_rate_average","bls_date","race_white","race_black","race_asian","race_native","race_pacific","race_other","race_multiple","hispanic","disabled","poverty","limited_english","commute_time","health_uninsured","veteran","zips"
"Middlesex","Middlesex","Middlesex County","25017","MA","Massachusetts","Cambridge","1840000429","42.4856","-71.3918","1623411","766.39","America/New_York","America/New_York","38.5","10.7","12.0","14.5","14.9","12.7","13.8","11.0","6.5","3.8","49.3","50.7","50.1","8.9","36.4","4.6","3.08","64.5","111790","2.2","1.6","2.8","2.6","2.3","4.5","6.8","11.5","11.0","18.2","36.6","54.8","51808","61.7","575423","1815","30.3","6.4","18.1","17.7","28.4","29.3","57.7","55.5","70.2","911258","914398.0","4.5","2.8","12-2022","72.9","5.1","12.7","0.2","0.1","3.3","5.6","8.3","9.3","7.4","5.7","30.7","2.7","3.9","01431 01432 01434 01450 01460 01463 01464 01469 01471 01472 01474 01701 01702 01703 01704 01705 01718 01719 01720 01721 01730 01731 01741 01742 01746 01748 01749 01752 01754 01760 01770 01773 01775 01776 01778 01784 01801 01803 01805 01813 01815 01821 01822 01824 01826 01827 01850 01851 01852 01853 01854 01862 01863 01864 01865 01866 01867 01876 01879 01880 01886 01887 01888 01889 01890 02129 02134 02138 02139 02140 02141 02142 02143 02144 02145 02148 02149 02150 02153 02155 02156 02176 02180 02238 02420 02421 02451 02452 02453 02454 02455 02456 02458 02459 02460 02461 02462 02464 02465 02466 02467 02468 02471 02472 02474 02475 02476 02477 02478 02479 02493 02495"
"Philadelphia","Philadelphia","Philadelphia County","42101","PA","Pennsylvania","Philadelphia","1840000673","40.0077","-75.1339","1596865","4588.93","America/New_York","America/New_York","34.8","12.3","12.3","16.5","16.3","11.3","11.6","10.6","5.8","3.3","47.6","52.4","31.5","12.3","50.5","5.7","3.24","47.2","52649","5.4","5.3","6.4","5.2","4.6","9.2","12.0","16.4","11.3","12.4","11.8","24.2","30080","52.4","183858","1149","34.7","13.4","31.4","22.7","18.4","14.1","32.5","45.5","62.6","723233","724750.0","8.9","5.8","12-2022","38.5","40.8","7.4","0.3","0.0","7.7","5.3","15.4","16.9","22.8","6.7","33.0","7.4","4.3","19019 19020 19050 19082 19092 19093 19099 19101 19102 19103 19104 19105 19106 19107 19108 19109 19110 19111 19112 19114 19115 19116 19118 19119 19120 19121 19122 19123 19124 19125 19126 19127 19128 19129 19130 19131 19132 19133 19134 19135 19136 19137 19138 19139 19140 19141 19142 19143 19144 19145 19146 19147 19148 19149 19150 19151 19152 19153 19154 19155 19160 19161 19162 19170 19171 19172 19173 19175 19176 19177 19178 19179 19181 19182 19183 19184 19185 19187 19188 19190 19191 19192 19193 19194 19195 19196 19197 19244 19255"
"Sacramento","Sacramento","Sacramento County","06067","CA","California","Sacramento","1840021491","38.4493","-121.3443","1571767","628.70","America/Los_Angeles","America/Los_Angeles","36.6","12.8","13.2","13.8","15.0","12.7","12.4","10.9","5.9","3.4","49.2","50.8","46.1","13.3","35.7","4.9","3.37","53.3","76422","2.6","2.0","4.0","3.1","3.3","7.1","10.4","16.7","13.7","18.2","19.1","37.3","36412","57.8","398467","1434","33.1","11.9","22.0","34.1","20.7","11.2","31.9","49.0","63.3","722404","724039.0","6.6","3.9","12-2022","52.1","9.7","16.9","0.7","1.1","8.9","10.6","23.8","11.8","13.3","6.2","28.0","5.4","6.2","94203 94204 94205 94206 94207 94208 94209 94211 94229 94230 94232 94234 94235 94236 94237 94239 94240 94244 94245 94247 94248 94249 94250 94252 94254 94256 94257 94258 94259 94261 94262 94263 94267 94268 94269 94271 94273 94274 94277 94278 94279 94280 94282 94283 94284 94285 94287 94288 94289 94290 94291 94293 94294 94295 94296 94297 94298 94299 94571 95608 95609 95610 95611 95615 95621 95624 95626 95628 95630 95632 95638 95639 95640 95641 95652 95655 95660 95662 95670 95671 95673 95680 95683 95690 95693 95741 95742 95757 95758 95759 95763 95811 95812 95813 95814 95815 95816 95817 95818 95819 95820 95821 95822 95823 95824 95825 95826 95827 95828 95829 95830 95831 95832 95833 95834 95835 95836 95837 95838 95840 95841 95842 95843 95851 95852 95853 95860 95864 95865 95866 95867 95894"
"Suffolk","Suffolk","Suffolk County","36103","NY","New York","Brookhaven","1840057464","40.8686","-72.8448","1522998","645.55","America/New_York","America/New_York","41.7","10.8","13.0","12.5","11.6","12.6","15.5","12.3","7.5","4.2","49.5","50.5","50.4","10.2","33.5","5.9","3.47","61.9","111660","2.1","1.1","2.1","2.1","2.3","4.4","7.0","12.1","11.4","20.9","34.6","55.5","45383","81.8","436412","1895","37.5","9.6","25.8","26.3","20.8","17.5","38.3","42.4","65.6","791740","796505.0","4.8","3.0","12-2022","76.3","7.5","4.1","0.3","0.0","5.8","6.1","19.9","9.5","6.6","2.8","32.1","4.2","4.7","00501 00544 06390 11701 11702 11703 11704 11705 11706 11707 11713 11715 11716 11717 11718 11719 11720 11721 11722 11724 11725 11726 11727 11729 11730 11731 11733 11735 11738 11739 11740 11741 11742 11743 11746 11747 11749 11751 11752 11754 11755 11757 11760 11763 11764 11766 11767 11768 11769 11770 11772 11775 11776 11777 11778 11779 11780 11782 11784 11786 11787 11788 11789 11790 11792 11794 11795 11796 11798 11901 11930 11931 11932 11933 11934 11935 11937 11939 11940 11941 11942 11944 11946 11947 11948 11949 11950 11951 11952 11953 11954 11955 11956 11957 11958 11959 11960 11961 11962 11963 11964 11965 11967 11968 11969 11970 11971 11972 11973 11975 11976 11977 11978 11980"
"Palm Beach","Palm Beach","Palm Beach County","12099","FL","Florida","West Palm Beach","1840015993","26.6476","-80.4655","1481233","291.15","America/New_York","America/New_York","45.0","10.2","11.2","11.1","11.8","11.9","13.4","12.9","10.4","7.1","48.7","51.3","46.9","14.4","30.9","7.7","3.16","49.1","68874","3.3","2.1","3.3","3.7","4.1","8.4","11.8","16.7","12.5","15.6","18.5","34.1","33720","69.4","314161","1534","37.0","10.9","23.4","27.7","23.0","15.0","38.0","41.1","59.8","768265","762722.0","6.1","2.7","12-2022","65.4","18.6","2.8","0.2","0.0","4.1","8.9","23.1","12.2","11.6","7.2","26.3","13.8","6.0","33401 33402 33403 33404 33405 33406 33407 33408 33409 33410 33411 33412 33413 33414 33415 33416 33417 33418 33419 33420 33421 33422 33424 33425 33426 33427 33428 33429 33430 33431 33432 33433 33434 33435 33436 33437 33438 33440 33444 33445 33446 33448 33449 33454 33458 33459 33460 33461 33462 33463 33464 33465 33466 33467 33468 33469 33470 33472 33473 33474 33476 33477 33478 33480 33481 33482 33483 33484 33486 33487 33488 33493 33496 33497 33498 33499"
"Bronx","Bronx","Bronx County","36005","NY","New York","New York","1840034016","40.8501","-73.8660","1468262","13441.50","America/New_York","America/New_York","34.8","13.6","13.9","15.2","14.0","12.3","12.6","9.5","5.5","3.3","47.4","52.6","31.9","14.2","48.6","5.3","3.45","45.7","43726","6.3","5.9","9.0","6.1","5.6","9.4","12.5","15.6","10.2","11.0","8.5","19.5","25095","19.8","437083","1306","43.1","25.9","27.9","25.3","13.4","7.6","21.0","43.8","58.9","587202","588841.0","11.2","8.4","12-2022","19.9","34.5","3.8","0.8","0.1","32.2","8.6","56.1","15.6","26.5","17.5","45.3","7.8","2.2","10451 10452 10453 10454 10455 10456 10457 10458 10459 10460 10461 10462 10463 10464 10465 10466 10467 10468 10469 10470 10471 10472 10473 10474 10475 10550 10803 11370"
"Hillsborough","Hillsborough","Hillsborough County","12057","FL","Florida","Tampa","1840015982","27.9291","-82.3091","1444359","545.48","America/New_York","America/New_York","37.6","12.1","12.8","13.8","14.8","13.5","13.0","10.5","6.4","3.1","49.2","50.8","45.2","14.6","35.0","5.2","3.23","51.9","64164","3.9","2.3","3.8","3.6","3.8","9.1","12.6","17.6","12.6","15.1","15.6","30.7","33479","59.8","248965","1259","33.7","10.8","26.3","27.3","22.5","13.0","35.5","44.9","65.4","812239","800867.0","5.0","2.6","12-2022","63.4","16.5","4.2","0.3","0.1","5.1","10.5","29.6","11.6","14.0","7.0","28.3","12.1","8.1","33503 33508 33509 33510 33511 33527 33530 33534 33540 33547 33548 33549 33550 33556 33558 33559 33563 33564 33565 33566 33567 33568 33569 33570 33571 33572 33573 33575 33578 33579 33583 33584 33586 33587 33592 33594 33595 33596 33598 33601 33602 33603 33604 33605 33606 33607 33608 33609 33610 33611 33612 33613 33614 33615 33616 33617 33618 33619 33620 33621 33622 33623 33624 33625 33626 33629 33630 33631 33633 33634 33635 33637 33646 33647 33650 33655 33660 33664 33672 33673 33674 33675 33677 33679 33680 33681 33682 33684 33685 33686 33687 33688 33689 33694 33810 33860"
"Orange","Orange","Orange County","12095","FL","Florida","Orlando","1840015099","28.5145","-81.3236","1409949","602.92","America/New_York","America/New_York","35.7","12.0","13.0","15.9","15.5","13.8","12.6","9.4","5.1","2.6","49.3","50.7","43.4","13.3","39.2","4.2","3.47","55.6","65784","3.5","2.1","3.4","3.5","4.3","8.4","12.9","17.8","13.3","15.8","15.1","30.9","30640","56.5","274536","1375","34.3","10.5","24.3","29.5","23.0","12.7","35.7","43.1","67.2","782449","776884.0","5.7","2.9","12-2022","55.5","20.7","5.2","0.2","0.1","6.8","11.5","32.6","11.3","13.9","8.3","28.7","13.3","5.6","32703 32704 32709 32710 32712 32751 32757 32768 32776 32777 32789 32790 32792 32793 32794 32798 32799 32801 32802 32803 32804 32805 32806 32807 32808 32809 32810 32811 32812 32814 32816 32817 32818 32819 32820 32821 32822 32824 32825 32826 32827 32828 32829 32830 32831 32832 32833 32834 32835 32836 32837 32839 32853 32854 32855 32856 32857 32858 32859 32860 32861 32862 32867 32868 32869 32872 32877 32878 32885 32886 32887 32891 32897 34734 34740 34747 34760 34761 34777 34778 34786 34787"
"Nassau","Nassau","Nassau County","36059","NY","New York","Hempstead","1840005293","40.7328","-73.5865","1391678","1888.40","America/New_York","America/New_York","41.8","11.5","12.7","12.1","11.6","12.8","14.7","12.7","7.3","4.8","49.1","50.9","53.7","8.1","32.3","5.9","3.47","63.3","126576","1.8","1.2","1.8","1.8","2.0","3.9","6.0","10.4","10.3","19.0","41.9","60.9","50161","81.7","559568","1940","35.2","8.3","21.8","22.4","26.0","21.5","47.5","43.0","65.4","721343","725734.0","4.5","2.8","12-2022","64.6","11.5","10.5","0.3","0.0","7.6","5.5","17.2","8.5","5.5","4.9","36.2","4.1","3.5","11001 11002 11003 11010 11020 11021 11022 11023 11024 11026 11027 11030 11040 11042 11050 11051 11052 11053 11054 11055 11096 11422 11501 11507 11509 11510 11514 11516 11518 11520 11530 11531 11542 11545 11547 11548 11549 11550 11551 11552 11553 11554 11555 11556 11557 11558 11559 11560 11561 11563 11565 11566 11568 11569 11570 11571 11572 11575 11576 11577 11579 11580 11581 11582 11590 11596 11598 11599 11691 11709 11710 11714 11732 11735 11737 11753 11756 11758 11762 11765 11771 11773 11783 11791 11793 11797 11801 11802 11803 11804 11815 11853"
"Franklin","Franklin","Franklin County","39049","OH","Ohio","Columbus","1840003760","39.9695","-83.0093","1313598","952.60","America/New_York","America/New_York","34.4","13.4","12.9","16.0","16.2","12.3","11.6","9.8","5.1","2.7","49.1","50.9","43.0","12.9","39.5","4.5","3.08","55.8","65999","2.9","2.5","3.5","3.8","3.7","8.6","12.3","18.5","13.1","16.4","14.6","31.0","37037","53.6","202460","1070","28.0","8.5","24.0","26.3","25.5","15.7","41.2","44.8","69.9","706883","711227.0","4.8","3.4","12-2022","63.5","22.9","5.4","0.2","0.0","2.2","5.7","5.9","11.2","14.7","2.9","22.2","7.8","5.9","43002 43004 43016 43017 43026 43054 43064 43065 43068 43069 43081 43085 43086 43109 43110 43119 43123 43125 43126 43137 43140 43146 43147 43194 43195 43199 43201 43202 43203 43204 43205 43206 43207 43209 43210 43211 43212 43213 43214 43215 43216 43217 43218 43219 43220 43221 43222 43223 43224 43226 43227 43228 43229 43230 43231 43232 43234 43235 43236 43251 43260 43266 43268 43270 43271 43272 43279 43287 43291"
