"city","city_ascii","city_alt","state_id","state_name","county_fips","county_name","county_fips_all","county_name_all","lat","lng","population","population_proper","density","source","military","incorporated","cdp","township","timezone","ranking","zips","id","age_median","age_under_10","age_10_to_19","age_20s","age_30s","age_40s","age_50s","age_60s","age_70s","age_over_80","age_over_65","age_18_to_24","age_over_18","male","female","married","divorced","never_married","widowed","family_size","family_dual_income","income_household_median","income_household_under_5","income_household_5_to_10","income_household_10_to_15","income_household_15_to_20","income_household_20_to_25","income_household_25_to_35","income_household_35_to_50","income_household_50_to_75","income_household_75_to_100","income_household_100_to_150","income_household_150_over","income_household_six_figure","income_individual_median","home_ownership","housing_units","home_value","rent_median","rent_burden","education_less_highschool","education_highschool","education_some_college","education_bachelors","education_graduate","education_college_or_above","education_stem_degree","labor_force_participation","unemployment_rate","race_white","race_black","race_asian","race_native","race_pacific","race_other","race_multiple","hispanic","disabled","poverty","limited_english","commute_time","health_uninsured","veteran","cbsa_fips","cbsa_name","cbsa_metro","csa_fips","csa_name"
"Marconi","Marconi","","CA","California","06041","Marin","06041","Marin","38.1438","-122.8783","","","18.7","point","FALSE","FALSE","FALSE","FALSE","America/Los_Angeles","4","94940","1840130418","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41860","San Francisco-Oakland-Berkeley, CA","TRUE","488","San Jose-San Francisco-Oakland, CA"
"Sewells Gardens","Sewells Gardens","","VA","Virginia","51710","Norfolk","51710","Norfolk","36.8965","-76.2452","","","1940.6","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","23513","1840118386","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47260","Virginia Beach-Norfolk-Newport News, VA-NC","TRUE","545","Virginia Beach-Norfolk, VA-NC"
"Scruggs","Scruggs","","VA","Virginia","51067","Franklin","51067","Franklin","37.0799","-79.6617","","","57.6","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","24121","1840118384","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40220","Roanoke, VA","TRUE","",""
"Screamersville","Screamersville","","VA","Virginia","51041","Chesterfield","51041","Chesterfield","37.3296","-77.3311","","","1346.1","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","23836","1840118383","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40060","Richmond, VA","TRUE","",""
"Cool Spring","Cool Spring","","VA","Virginia","51025","Brunswick","51025","Brunswick","36.8340","-77.8258","","","5.0","point","FALSE","FALSE","FALSE","FALSE","America/New_York","5","23843","1840117964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40060","Richmond, VA","TRUE","",""
"Cornwell","Cornwell","","VA","Virginia","51153","Prince William","51153","Prince William","38.6890","-77.4414","","","747.0","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","20112","1840117966","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","TRUE","548","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
"Corbin","Corbin","","VA","Virginia","51033","Caroline","51033","Caroline","38.1996","-77.3889","","","35.9","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","22580","1840117965","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","TRUE","548","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
"Country Club Hills","Country Club Hills","","VA","Virginia","51013","Arlington","51013","Arlington","38.9140","-77.1308","","","1647.7","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","22207","1840117967","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","TRUE","548","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
"Stegall","Stegall","","NE","Nebraska","31157","Scotts Bluff","31157","Scotts Bluff","41.8714","-103.9474","","","4.4","point","FALSE","FALSE","FALSE","FALSE","America/Denver","5","69358","1840078577","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42420","Scottsbluff, NE","FALSE","",""
"Belden","Belden","","CO","Colorado","08037","Eagle","08037","Eagle","39.5255","-106.3861","","","0.6","point","FALSE","FALSE","FALSE","FALSE","America/Denver","5","81649","1840043638","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20780","Edwards, CO","FALSE","233","Edwards-Glenwood Springs, CO"
"Redstar","Redstar","","WV","West Virginia","54019","Fayette","54019","Fayette","37.9354","-81.1465","","","214.2","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","25901","1840123035","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13220","Beckley, WV","TRUE","",""
"Dry Wood","Dry Wood","","KS","Kansas","20037","Crawford","20037","Crawford","37.6598","-94.7127","","","2.3","point","FALSE","FALSE","FALSE","FALSE","America/Chicago","5","66711","1840059627","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38260","Pittsburg, KS","FALSE","",""
