"city","city_ascii","city_alt","state_id","state_name","county_fips","county_name","county_fips_all","county_name_all","lat","lng","population","population_proper","density","source","military","incorporated","cdp","township","timezone","ranking","zips","id","age_median","age_under_10","age_10_to_19","age_20s","age_30s","age_40s","age_50s","age_60s","age_70s","age_over_80","age_over_65","age_18_to_24","age_over_18","male","female","married","divorced","never_married","widowed","family_size","family_dual_income","income_household_median","income_household_under_5","income_household_5_to_10","income_household_10_to_15","income_household_15_to_20","income_household_20_to_25","income_household_25_to_35","income_household_35_to_50","income_household_50_to_75","income_household_75_to_100","income_household_100_to_150","income_household_150_over","income_household_six_figure","income_individual_median","home_ownership","housing_units","home_value","rent_median","rent_burden","education_less_highschool","education_highschool","education_some_college","education_bachelors","education_graduate","education_college_or_above","education_stem_degree","labor_force_participation","unemployment_rate","race_white","race_black","race_asian","race_native","race_pacific","race_other","race_multiple","hispanic","disabled","poverty","limited_english","commute_time","health_uninsured","veteran","cbsa_fips","cbsa_name","cbsa_metro","csa_fips","csa_name"
"Etna","Etna","","NV","Nevada","32017","Lincoln","32017","Lincoln","37.5552","-114.5714","","","0.4","point","FALSE","FALSE","FALSE","FALSE","America/Los_Angeles","5","89008","1840079395","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FALSE","",""
"Mill River","Mill River","","MA","Massachusetts","25011","Franklin","25011","Franklin","42.5015","-72.6412","","","237.8","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","01373","1840145519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44140","Springfield, MA","TRUE","",""
"Grantville","Grantville","","CT","Connecticut","09160","Northwest Hills","09160","Northwest Hills","41.9512","-73.1565","","","11.2","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","06058","1840044853","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45860","Torrington, CT","FALSE","408","New York-Newark, NY-NJ-CT-PA"
"Wadsworth","Wadsworth","","AL","Alabama","01001","Autauga","01001","Autauga","32.6749","-86.4508","","","26.4","point","FALSE","FALSE","FALSE","FALSE","America/Chicago","4","36022","1840041793","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33860","Montgomery, AL","TRUE","388","Montgomery-Selma-Alexander City, AL"
"Wagarville","Wagarville","","AL","Alabama","01129","Washington","01129","Washington","31.4363","-88.0283","","","74.2","point","FALSE","FALSE","FALSE","FALSE","America/Chicago","4","36585","1840027508","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33660","Mobile, AL","TRUE","380","Mobile-Daphne-Fairhope, AL"
"Machen","Machen","","GA","Georgia","13159","Jasper","13159","Jasper","33.3921","-83.5899","","","117.6","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","31064","1840048571","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12060","Atlanta-Sandy Springs-Alpharetta, GA","TRUE","122","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
"Blaylock Mill","Blaylock Mill","","GA","Georgia","13295","Walker","13295","Walker","34.6670","-85.3000","","","64.1","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","30728","1840048706","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16860","Chattanooga, TN-GA","TRUE","174","Chattanooga-Cleveland-Dalton, TN-GA"
"Brazos Point","Brazos Point","","TX","Texas","48035","Bosque","48035","Bosque","32.1871","-97.6192","","","9.2","point","FALSE","FALSE","FALSE","FALSE","America/Chicago","5","76652","1840112456","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19100","Dallas-Fort Worth-Arlington, TX","TRUE","206","Dallas-Fort Worth, TX-OK"
"Johnstown","Johnstown","","NC","North Carolina","37169","Stokes","37169","Stokes","36.4859","-80.3990","","","51.5","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","27053","1840145520","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49180","Winston-Salem, NC","TRUE","268","Greensboro--Winston-Salem--High Point, NC"
"Dry Run","Dry Run","","PA","Pennsylvania","42055","Franklin","42055","Franklin","40.1676","-77.7539","","","221.4","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","17220","1840034935","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16540","Chambersburg-Waynesboro, PA","TRUE","548","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
"Beulah","Beulah","","WV","West Virginia","54083","Randolph","54083","Randolph","38.7512","-79.7578","","","0.4","point","FALSE","FALSE","FALSE","FALSE","America/New_York","5","26268","1840122036","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21180","Elkins, WV","FALSE","",""
"Bessemer","Bessemer","","WV","West Virginia","54003","Berkeley","54003","Berkeley","39.5145","-77.9297","","","111.0","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","25404","1840122033","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25180","Hagerstown-Martinsburg, MD-WV","TRUE","548","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
