"city","city_ascii","city_alt","state_id","state_name","county_fips","county_name","county_fips_all","county_name_all","lat","lng","population","population_proper","density","source","military","incorporated","cdp","township","timezone","ranking","zips","id","age_median","age_under_10","age_10_to_19","age_20s","age_30s","age_40s","age_50s","age_60s","age_70s","age_over_80","age_over_65","age_18_to_24","age_over_18","male","female","married","divorced","never_married","widowed","family_size","family_dual_income","income_household_median","income_household_under_5","income_household_5_to_10","income_household_10_to_15","income_household_15_to_20","income_household_20_to_25","income_household_25_to_35","income_household_35_to_50","income_household_50_to_75","income_household_75_to_100","income_household_100_to_150","income_household_150_over","income_household_six_figure","income_individual_median","home_ownership","housing_units","home_value","rent_median","rent_burden","education_less_highschool","education_highschool","education_some_college","education_bachelors","education_graduate","education_college_or_above","education_stem_degree","labor_force_participation","unemployment_rate","race_white","race_black","race_asian","race_native","race_pacific","race_other","race_multiple","hispanic","disabled","poverty","limited_english","commute_time","health_uninsured","veteran","cbsa_fips","cbsa_name","cbsa_metro","csa_fips","csa_name"
"Little Italy","Little Italy","","PA","Pennsylvania","42017","Bucks","42017","Bucks","40.2682","-75.0238","","","77.2","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","18980","1840103300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","TRUE","428","Philadelphia-Reading-Camden, PA-NJ-DE-MD"
"Lloydville","Lloydville","","PA","Pennsylvania","42021","Cambria","42021","Cambria","40.6701","-78.4064","","","0.2","point","FALSE","FALSE","FALSE","FALSE","America/New_York","5","16639","1840103306","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27780","Johnstown, PA","TRUE","306","Johnstown-Somerset, PA"
"Sharptown","Sharptown","","NJ","New Jersey","34033","Salem","34033","Salem","39.6557","-75.3652","","","196.4","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","08098","1840033407","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","TRUE","428","Philadelphia-Reading-Camden, PA-NJ-DE-MD"
"Emika","Emika","","AZ","Arizona","04019","Pima","04019","Pima","32.4334","-112.4865","","","0.3","point","FALSE","FALSE","FALSE","FALSE","America/Phoenix","5","85321","1840029146","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46060","Tucson, AZ","TRUE","536","Tucson-Nogales, AZ"
"Cushing","Cushing","","MN","Minnesota","27097","Morrison","27097","Morrison","46.1397","-94.5770","","","60.9","point","FALSE","FALSE","FALSE","FALSE","America/Chicago","4","56443","1840031786","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FALSE","",""
"El Tule","El Tule","","AZ","Arizona","04001","Apache","04001","Apache","34.3798","-109.3973","","","1.0","point","FALSE","FALSE","FALSE","FALSE","America/Phoenix","5","85936","1840029109","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FALSE","",""
"Dobson","Dobson","","AZ","Arizona","04019","Pima","04019","Pima","32.4734","-111.2923","","","4.9","point","FALSE","FALSE","FALSE","FALSE","America/Phoenix","5","85653","1840029067","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46060","Tucson, AZ","TRUE","536","Tucson-Nogales, AZ"
"Dixie","Dixie","","AZ","Arizona","04013","Maricopa","04013","Maricopa","33.3595","-112.7577","","","0.9","point","FALSE","FALSE","FALSE","FALSE","America/Phoenix","5","85354","1840029041","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38060","Phoenix-Mesa-Chandler, AZ","TRUE","429","Phoenix-Mesa, AZ"
"Fort Standish","Fort Standish","","MA","Massachusetts","25023","Plymouth","25023","Plymouth","41.9973","-70.6286","","","25.0","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","02360","1840069740","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14460","Boston-Cambridge-Newton, MA-NH","TRUE","148","Boston-Worcester-Providence, MA-RI-NH-CT"
"Fourth Cliff","Fourth Cliff","","MA","Massachusetts","25023","Plymouth","25023","Plymouth","42.1601","-70.7045","","","239.5","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","02047","1840069741","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14460","Boston-Cambridge-Newton, MA-NH","TRUE","148","Boston-Worcester-Providence, MA-RI-NH-CT"
"West Mercur","West Mercur","","UT","Utah","49045","Tooele","49045","Tooele","40.3147","-112.2783","","","0.0","point","FALSE","FALSE","FALSE","FALSE","America/Denver","5","84071","1840114522","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41620","Salt Lake City, UT","TRUE","482","Salt Lake City-Provo-Orem, UT"
"Westwater","Westwater","","UT","Utah","49019","Grand","49019","Grand","39.0783","-109.1123","","","2.3","point","FALSE","FALSE","FALSE","FALSE","America/Denver","5","84515","1840037213","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FALSE","",""
"McMillan","McMillan","","OK","Oklahoma","40095","Marshall","40095","Marshall","34.0898","-96.9372","","","6.8","point","FALSE","FALSE","FALSE","FALSE","America/Chicago","5","73446","1840096925","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11620","Ardmore, OK","FALSE","",""
"McLain","McLain","","OK","Oklahoma","40101","Muskogee","40101","Muskogee","35.5665","-95.2689","","","36.6","point","FALSE","FALSE","FALSE","FALSE","America/Chicago","4","74403","1840096924","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34780","Muskogee, OK","FALSE","538","Tulsa-Muskogee-Bartlesville, OK"
"McWillie","McWillie","","OK","Oklahoma","40003","Alfalfa","40003","Alfalfa","36.5359","-98.3545","","","1.0","point","FALSE","FALSE","FALSE","FALSE","America/Chicago","5","73741","1840034561","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FALSE","",""
"McQueen","McQueen","","OK","Oklahoma","40057","Harmon","40057","Harmon","34.6667","-99.7018","","","0.4","point","FALSE","FALSE","FALSE","FALSE","America/Chicago","5","73544","1840028473","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11060","Altus, OK","FALSE","",""
