"city","city_ascii","city_alt","state_id","state_name","county_fips","county_name","county_fips_all","county_name_all","lat","lng","population","population_proper","density","source","military","incorporated","cdp","township","timezone","ranking","zips","id","age_median","age_under_10","age_10_to_19","age_20s","age_30s","age_40s","age_50s","age_60s","age_70s","age_over_80","age_over_65","age_18_to_24","age_over_18","male","female","married","divorced","never_married","widowed","family_size","family_dual_income","income_household_median","income_household_under_5","income_household_5_to_10","income_household_10_to_15","income_household_15_to_20","income_household_20_to_25","income_household_25_to_35","income_household_35_to_50","income_household_50_to_75","income_household_75_to_100","income_household_100_to_150","income_household_150_over","income_household_six_figure","income_individual_median","home_ownership","housing_units","home_value","rent_median","rent_burden","education_less_highschool","education_highschool","education_some_college","education_bachelors","education_graduate","education_college_or_above","education_stem_degree","labor_force_participation","unemployment_rate","race_white","race_black","race_asian","race_native","race_pacific","race_other","race_multiple","hispanic","disabled","poverty","limited_english","commute_time","health_uninsured","veteran","cbsa_fips","cbsa_name","cbsa_metro","csa_fips","csa_name"
"Whitehall","Whitehall","","TX","Texas","48185","Grimes","48185","Grimes","30.3024","-95.9736","","","14.0","point","FALSE","FALSE","FALSE","FALSE","America/Chicago","4","77868","1840113430","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26420","Houston-The Woodlands-Sugar Land, TX","TRUE","288","Houston-The Woodlands, TX"
"Lonelyville","Lonelyville","","NY","New York","36103","Suffolk","36103","Suffolk","40.6409","-73.1748","","","72.4","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","11706","1840033909","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35620","New York-Newark-Jersey City, NY-NJ-PA","TRUE","408","New York-Newark, NY-NJ-CT-PA"
"Lords Point","Lords Point","","CT","Connecticut","09180","Southeastern Connecticut","09180","Southeastern Connecticut","41.3359","-71.9270","","","434.1","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","06378","1840044588","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35620","New York-Newark-Jersey City, NY-NJ-PA","TRUE","408","New York-Newark, NY-NJ-CT-PA"
"Gulf Resort Beach","Gulf Resort Beach","","FL","Florida","12005","Bay","12005","Bay","30.2235","-85.8916","","","699.6","point","FALSE","FALSE","FALSE","FALSE","America/Chicago","4","32413","1840046750","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37460","Panama City, FL","TRUE","",""
"Mexia","Mexia","","AL","Alabama","01099","Monroe","01099","Monroe","31.5071","-87.3883","","","86.9","point","FALSE","FALSE","FALSE","FALSE","America/Chicago","4","36445","1840041417","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FALSE","",""
"Gulf Hammock","Gulf Hammock","","FL","Florida","12075","Levy","12075","Levy","29.2530","-82.7309","","","3.1","point","FALSE","FALSE","FALSE","FALSE","America/New_York","5","32639","1840028688","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23540","Gainesville, FL","TRUE","264","Gainesville-Lake City, FL"
"Gulf Lagoon Beach","Gulf Lagoon Beach","","FL","Florida","12005","Bay","12005","Bay","30.1646","-85.7869","","","966.6","point","FALSE","FALSE","FALSE","FALSE","America/Chicago","4","32408","1840046749","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37460","Panama City, FL","TRUE","",""
"Gulf Harbors","Gulf Harbors","","FL","Florida","12101","Pasco","12101","Pasco","28.2350","-82.7582","","","1654.8","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","34652","1840046748","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45300","Tampa-St. Petersburg-Clearwater, FL","TRUE","",""
"Indianford","Indianford","","WI","Wisconsin","55105","Rock","55105","Rock","42.8042","-89.0912","","","136.1","point","FALSE","FALSE","FALSE","FALSE","America/Chicago","4","53534","1840124668","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27500","Janesville-Beloit, WI","TRUE","357","Madison-Janesville-Beloit, WI"
"Norton","Norton","","WI","Wisconsin","55033","Dunn","55033","Dunn","45.0164","-91.8343","","","5.6","point","FALSE","FALSE","FALSE","FALSE","America/Chicago","5","54730","1840124478","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32860","Menomonie, WI","FALSE","232","Eau Claire-Menomonie, WI"
