"city","city_ascii","city_alt","state_id","state_name","county_fips","county_name","county_fips_all","county_name_all","lat","lng","population","population_proper","density","source","military","incorporated","cdp","township","timezone","ranking","zips","id","age_median","age_under_10","age_10_to_19","age_20s","age_30s","age_40s","age_50s","age_60s","age_70s","age_over_80","age_over_65","age_18_to_24","age_over_18","male","female","married","divorced","never_married","widowed","family_size","family_dual_income","income_household_median","income_household_under_5","income_household_5_to_10","income_household_10_to_15","income_household_15_to_20","income_household_20_to_25","income_household_25_to_35","income_household_35_to_50","income_household_50_to_75","income_household_75_to_100","income_household_100_to_150","income_household_150_over","income_household_six_figure","income_individual_median","home_ownership","housing_units","home_value","rent_median","rent_burden","education_less_highschool","education_highschool","education_some_college","education_bachelors","education_graduate","education_college_or_above","education_stem_degree","labor_force_participation","unemployment_rate","race_white","race_black","race_asian","race_native","race_pacific","race_other","race_multiple","hispanic","disabled","poverty","limited_english","commute_time","health_uninsured","veteran","cbsa_fips","cbsa_name","cbsa_metro","csa_fips","csa_name"
"Double Bridges","Double Bridges","","TN","Tennessee","47097","Lauderdale","47097","Lauderdale","35.9051","-89.4537","","","23.5","point","FALSE","FALSE","FALSE","FALSE","America/Chicago","4","38040","1840109593","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20540","Dyersburg, TN","FALSE","",""
"Blackburn","Blackburn","","NC","North Carolina","37035","Catawba","37035","Catawba","35.6160","-81.3309","","","154.4","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","28658","1840088137","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25860","Hickory-Lenoir-Morganton, NC","TRUE","",""
"Red Rock","Red Rock","","GA","Georgia","13321","Worth","13321","Worth","31.5827","-83.9374","","","11.1","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","31791","1840048093","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10500","Albany, GA","TRUE","",""
"Williams Delight","Williams Delight","","VI","Virgin Islands","78010","St. Croix","78010","St. Croix","17.7000","-64.8354","","","488.8","point","FALSE","FALSE","FALSE","FALSE","America/St_Thomas","4","00840","1850127139","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FALSE","",""
"Blackmon Crossroads","Blackmon Crossroads","","NC","North Carolina","37101","Johnston","37101","Johnston","35.3685","-78.4283","","","50.6","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","27524","1840088138","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39580","Raleigh-Cary, NC","TRUE","450","Raleigh-Durham-Cary, NC"
"Buffalo Creek","Buffalo Creek","","WV","West Virginia","54099","Wayne","54099","Wayne","38.3556","-82.5093","","","270.5","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","25704","1840120822","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26580","Huntington-Ashland, WV-KY-OH","TRUE","170","Charleston-Huntington-Ashland, WV-OH-KY"
"Chapmans","Chapmans","","TN","Tennessee","47055","Giles","47055","Giles","35.1765","-87.0195","","","79.8","point","FALSE","FALSE","FALSE","FALSE","America/Chicago","4","38478","1840109479","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FALSE","",""
"Pine Grove","Pine Grove","","SC","South Carolina","45015","Berkeley","45015","Berkeley","33.0435","-79.9884","","","0.0","point","FALSE","FALSE","FALSE","FALSE","America/New_York","5","29445","1840106677","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16700","Charleston-North Charleston, SC","TRUE","",""
"Pryse","Pryse","","KY","Kentucky","21065","Estill","21065","Estill","37.6539","-83.8725","","","19.5","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","40336","1840062987","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40080","Richmond-Berea, KY","FALSE","336","Lexington-Fayette--Richmond--Frankfort, KY"
"Upper Green Hill","Upper Green Hill","","AL","Alabama","01077","Lauderdale","01077","Lauderdale","34.9848","-87.5067","","","108.2","point","FALSE","FALSE","FALSE","FALSE","America/Chicago","4","35645","1840041779","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22520","Florence-Muscle Shoals, AL","TRUE","",""
"Poston","Poston","","SC","South Carolina","45041","Florence","45041","Florence","33.8738","-79.4262","","","63.9","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","29555","1840035745","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22500","Florence, SC","TRUE","",""
"Upper Coalburg","Upper Coalburg","","AL","Alabama","01073","Jefferson","01073","Jefferson","33.6123","-86.8508","","","91.1","point","FALSE","FALSE","FALSE","FALSE","America/Chicago","4","35068","1840041778","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13820","Birmingham-Hoover, AL","TRUE","142","Birmingham-Hoover-Talladega, AL"
"Chamberlain","Chamberlain","","MI","Michigan","26149","St. Joseph","26149","St. Joseph","42.0659","-85.7428","","","23.4","point","FALSE","FALSE","FALSE","FALSE","America/Detroit","4","49067","1840127979","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44780","Sturgis, MI","FALSE","310","Kalamazoo-Battle Creek-Portage, MI"
"Casco","Casco","","MI","Michigan","26147","St. Clair","26147","St. Clair","42.7525","-82.6716","","","55.9","point","FALSE","FALSE","FALSE","FALSE","America/Detroit","4","48064","1840127978","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19820","Detroit-Warren-Dearborn, MI","TRUE","220","Detroit-Warren-Ann Arbor, MI"
"Keough Hot Springs","Keough Hot Springs","","CA","California","06027","Inyo","06027","Inyo","37.2547","-118.3771","","","52.2","point","FALSE","FALSE","FALSE","FALSE","America/Los_Angeles","4","93514","1840130356","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23420","Fresno, CA","TRUE","260","Fresno-Madera-Hanford, CA"
"Leroy","Leroy","","LA","Louisiana","22113","Vermilion","22113","Vermilion","30.0788","-92.1923","","","38.3","point","FALSE","FALSE","FALSE","FALSE","America/Chicago","4","70555","1840064362","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29180","Lafayette, LA","TRUE","318","Lafayette-Opelousas-Morgan City, LA"
"Lettsworth","Lettsworth","","LA","Louisiana","22077","Pointe Coupee","22077","Pointe Coupee","30.9335","-91.7048","","","3.6","point","FALSE","FALSE","FALSE","FALSE","America/Chicago","5","70753","1840031067","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12940","Baton Rouge, LA","TRUE","",""
"Lena","Lena","","LA","Louisiana","22079","Rapides","22079","Rapides","31.4607","-92.7707","","","27.6","point","FALSE","FALSE","FALSE","FALSE","America/Chicago","4","71447","1840031066","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10780","Alexandria, LA","TRUE","",""
"Mission Valley","Mission Valley","","AZ","Arizona","04013","Maricopa","04013","Maricopa","33.3525","-111.8521","","","2467.4","point","FALSE","FALSE","FALSE","FALSE","America/Phoenix","4","85225","1840038639","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38060","Phoenix-Mesa-Chandler, AZ","TRUE","429","Phoenix-Mesa, AZ"
"Powellsville","Powellsville","","OH","Ohio","39145","Scioto","39145","Scioto","38.6667","-82.7835","","","34.3","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","45629","1840094899","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39020","Portsmouth, OH","FALSE","170","Charleston-Huntington-Ashland, WV-OH-KY"
"Poulton","Poulton","","OH","Ohio","39111","Monroe","39111","Monroe","39.6076","-81.1212","","","1.7","point","FALSE","FALSE","FALSE","FALSE","America/New_York","5","45767","1840094898","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FALSE","",""
"Heaton","Heaton","","NC","North Carolina","37011","Avery","37011","Avery","36.1729","-81.9426","","","55.7","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","28622","1840089250","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27740","Johnson City, TN","TRUE","304","Johnson City-Kingsport-Bristol, TN-VA"
