"city","city_ascii","city_alt","state_id","state_name","county_fips","county_name","county_fips_all","county_name_all","lat","lng","population","population_proper","density","source","military","incorporated","cdp","township","timezone","ranking","zips","id","age_median","age_under_10","age_10_to_19","age_20s","age_30s","age_40s","age_50s","age_60s","age_70s","age_over_80","age_over_65","age_18_to_24","age_over_18","male","female","married","divorced","never_married","widowed","family_size","family_dual_income","income_household_median","income_household_under_5","income_household_5_to_10","income_household_10_to_15","income_household_15_to_20","income_household_20_to_25","income_household_25_to_35","income_household_35_to_50","income_household_50_to_75","income_household_75_to_100","income_household_100_to_150","income_household_150_over","income_household_six_figure","income_individual_median","home_ownership","housing_units","home_value","rent_median","rent_burden","education_less_highschool","education_highschool","education_some_college","education_bachelors","education_graduate","education_college_or_above","education_stem_degree","labor_force_participation","unemployment_rate","race_white","race_black","race_asian","race_native","race_pacific","race_other","race_multiple","hispanic","disabled","poverty","limited_english","commute_time","health_uninsured","veteran","cbsa_fips","cbsa_name","cbsa_metro","csa_fips","csa_name"
"Riverton","Riverton","","VA","Virginia","51187","Warren","51187","Warren","38.9465","-78.1994","","","133.8","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","22630","1840037277","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","TRUE","548","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
"West Batavia","West Batavia","","NY","New York","36037","Genesee","36037","Genesee","42.9798","-78.2995","","","60.2","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","14020","1840085755","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12860","Batavia, NY","FALSE","464","Rochester-Batavia-Seneca Falls, NY"
"West Barre","West Barre","","NY","New York","36073","Orleans","36073","Orleans","43.1528","-78.2536","","","10.8","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","14411","1840085754","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40380","Rochester, NY","TRUE","464","Rochester-Batavia-Seneca Falls, NY"
"Masonville","Masonville","","CO","Colorado","08069","Larimer","08069","Larimer","40.4875","-105.2108","","","68.0","point","FALSE","FALSE","FALSE","FALSE","America/Denver","4","80538","1840027387","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22660","Fort Collins, CO","TRUE","",""
"West Bergen","West Bergen","","NY","New York","36037","Genesee","36037","Genesee","43.0662","-78.0047","","","31.7","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","14416","1840085756","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12860","Batavia, NY","FALSE","464","Rochester-Batavia-Seneca Falls, NY"
"Donna Lee Gardens","Donna Lee Gardens","","VA","Virginia","51059","Fairfax","51059","Fairfax","38.8818","-77.1939","","","3943.3","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","22046","1840117995","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","TRUE","548","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
"Dominion Hills","Dominion Hills","","VA","Virginia","51013","Arlington","51013","Arlington","38.8759","-77.1411","","","2920.4","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","22205","1840117994","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","TRUE","548","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
"Dorter Mill","Dorter Mill","","VA","Virginia","51169","Scott","51169","Scott","36.6204","-82.5254","","","23.9","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","24251","1840117996","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28700","Kingsport-Bristol, TN-VA","TRUE","304","Johnson City-Kingsport-Bristol, TN-VA"
"Duet","Duet","","VA","Virginia","51113","Madison","51113","Madison","38.4748","-78.2564","","","9.4","point","FALSE","FALSE","FALSE","FALSE","America/New_York","5","22727","1840117998","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","TRUE","548","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
"Fourmile Hill","Fourmile Hill","","AR","Arkansas","05145","White","05145","White","35.2906","-91.7704","","","121.9","point","FALSE","FALSE","FALSE","FALSE","America/Chicago","4","72143","1840040433","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42620","Searcy, AR","FALSE","340","Little Rock-North Little Rock, AR"
