"city","city_ascii","city_alt","state_id","state_name","county_fips","county_name","county_fips_all","county_name_all","lat","lng","population","population_proper","density","source","military","incorporated","cdp","township","timezone","ranking","zips","id","age_median","age_under_10","age_10_to_19","age_20s","age_30s","age_40s","age_50s","age_60s","age_70s","age_over_80","age_over_65","age_18_to_24","age_over_18","male","female","married","divorced","never_married","widowed","family_size","family_dual_income","income_household_median","income_household_under_5","income_household_5_to_10","income_household_10_to_15","income_household_15_to_20","income_household_20_to_25","income_household_25_to_35","income_household_35_to_50","income_household_50_to_75","income_household_75_to_100","income_household_100_to_150","income_household_150_over","income_household_six_figure","income_individual_median","home_ownership","housing_units","home_value","rent_median","rent_burden","education_less_highschool","education_highschool","education_some_college","education_bachelors","education_graduate","education_college_or_above","education_stem_degree","labor_force_participation","unemployment_rate","race_white","race_black","race_asian","race_native","race_pacific","race_other","race_multiple","hispanic","disabled","poverty","limited_english","commute_time","health_uninsured","veteran","cbsa_fips","cbsa_name","cbsa_metro","csa_fips","csa_name"
"Piper","Piper","","OK","Oklahoma","40093","Major","40093","Major","36.1742","-98.2676","","","0.2","point","FALSE","FALSE","FALSE","FALSE","America/Chicago","5","73763","1840097020","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FALSE","",""
"Verlie","Verlie","","AL","Alabama","01117","Shelby","01117","Shelby","33.2132","-86.8019","","","47.6","point","FALSE","FALSE","FALSE","FALSE","America/Chicago","4","35007","1840041886","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13820","Birmingham-Hoover, AL","TRUE","142","Birmingham-Hoover-Talladega, AL"
"Gaitherville","Gaitherville","","TN","Tennessee","47099","Lawrence","47099","Lawrence","35.2456","-87.3653","","","34.4","point","FALSE","FALSE","FALSE","FALSE","America/Chicago","4","38464","1840109733","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29980","Lawrenceburg, TN","FALSE","400","Nashville-Davidson--Murfreesboro, TN"
"Pearland","Pearland","","CA","California","06037","Los Angeles","06037","Los Angeles","34.5611","-118.0403","","","3834.4","point","FALSE","FALSE","FALSE","FALSE","America/Los_Angeles","4","93552","1840131227","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31080","Los Angeles-Long Beach-Anaheim, CA","TRUE","348","Los Angeles-Long Beach, CA"
"Raymore","Raymore","","WI","Wisconsin","55081","Monroe","55081","Monroe","43.9975","-90.6193","","","0.0","point","FALSE","FALSE","FALSE","FALSE","America/Chicago","5","54660","1840124502","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FALSE","",""
"Lester","Lester","","WA","Washington","53033","King","53033","King","47.2093","-121.4940","","","0.0","point","FALSE","FALSE","FALSE","FALSE","America/Los_Angeles","5","98022","1840033765","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42660","Seattle-Tacoma-Bellevue, WA","TRUE","500","Seattle-Tacoma, WA"
"Red Banks","Red Banks","","WI","Wisconsin","55135","Waupaca","55135","Waupaca","44.2769","-88.8587","","","27.9","point","FALSE","FALSE","FALSE","FALSE","America/Chicago","4","54940","1840124503","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FALSE","",""
"Millburne","Millburne","","WY","Wyoming","56041","Uinta","56041","Uinta","41.2583","-110.4127","","","11.1","point","FALSE","FALSE","FALSE","FALSE","America/Denver","4","82933","1840126066","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21740","Evanston, WY","FALSE","",""
"Pere Cheney","Pere Cheney","","MI","Michigan","26039","Crawford","26039","Crawford","44.5775","-84.6378","","","3.9","point","FALSE","FALSE","FALSE","FALSE","America/Detroit","5","48653","1840127581","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FALSE","",""
"Gainesville","Gainesville","","TN","Tennessee","47167","Tipton","47167","Tipton","35.4134","-89.6092","","","28.6","point","FALSE","FALSE","FALSE","FALSE","America/Chicago","4","38049","1840109732","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32820","Memphis, TN-MS-AR","TRUE","368","Memphis-Forrest City, TN-MS-AR"
