"city","city_ascii","city_alt","state_id","state_name","county_fips","county_name","county_fips_all","county_name_all","lat","lng","population","population_proper","density","source","military","incorporated","cdp","township","timezone","ranking","zips","id","age_median","age_under_10","age_10_to_19","age_20s","age_30s","age_40s","age_50s","age_60s","age_70s","age_over_80","age_over_65","age_18_to_24","age_over_18","male","female","married","divorced","never_married","widowed","family_size","family_dual_income","income_household_median","income_household_under_5","income_household_5_to_10","income_household_10_to_15","income_household_15_to_20","income_household_20_to_25","income_household_25_to_35","income_household_35_to_50","income_household_50_to_75","income_household_75_to_100","income_household_100_to_150","income_household_150_over","income_household_six_figure","income_individual_median","home_ownership","housing_units","home_value","rent_median","rent_burden","education_less_highschool","education_highschool","education_some_college","education_bachelors","education_graduate","education_college_or_above","education_stem_degree","labor_force_participation","unemployment_rate","race_white","race_black","race_asian","race_native","race_pacific","race_other","race_multiple","hispanic","disabled","poverty","limited_english","commute_time","health_uninsured","veteran","cbsa_fips","cbsa_name","cbsa_metro","csa_fips","csa_name"
"Brockway Landing","Brockway Landing","","CT","Connecticut","09130","Lower Connecticut River Valley","09130","Lower Connecticut River Valley","41.3887","-72.3884","","","56.8","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","06371","1840044438","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35980","Norwich-New London, CT","TRUE","278","Hartford-East Hartford, CT"
"Whipup","Whipup","","UT","Utah","49041","Sevier","49041","Sevier","38.6916","-111.3941","","","0.0","point","FALSE","FALSE","FALSE","FALSE","America/Denver","5","84654","1840114652","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FALSE","",""
"Loring Colony","Loring Colony","","MT","Montana","30071","Phillips","30071","Phillips","48.7891","-107.9687","0","0","0.2","shape","FALSE","FALSE","TRUE","FALSE","America/Denver","3","59537","1840148545","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FALSE","",""
"Sleeping Buffalo","Sleeping Buffalo","","MT","Montana","30071","Phillips","30071","Phillips","48.4830","-107.5319","0","0","2.0","shape","FALSE","FALSE","TRUE","FALSE","America/Denver","3","59261","1840148547","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FALSE","",""
"East Malta Colony","East Malta Colony","","MT","Montana","30071","Phillips","30071","Phillips","48.3488","-107.6081","0","0","2.6","shape","FALSE","FALSE","TRUE","FALSE","America/Denver","3","59538","1840148548","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FALSE","",""
"Woodlawn Grove","Woodlawn Grove","","IN","Indiana","18117","Orange","18117","Orange","38.5781","-86.4580","","","48.0","point","FALSE","FALSE","FALSE","FALSE","America/Indiana/Indianapolis","4","47454","1840056061","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FALSE","",""
"Springwater Colony","Springwater Colony","","MT","Montana","30107","Wheatland","30107","Wheatland","46.4569","-109.7532","0","0","2.0","shape","FALSE","FALSE","TRUE","FALSE","America/Denver","3","59036","1840148549","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","13740","Billings, MT","TRUE","",""
"Cline","Cline","","MT","Montana","30111","Yellowstone","30111","Yellowstone","45.8822","-108.4090","","","38.2","point","FALSE","FALSE","FALSE","FALSE","America/Denver","4","59105","1840077937","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13740","Billings, MT","TRUE","",""
"Topinabee","Topinabee","","MI","Michigan","26031","Cheboygan","26031","Cheboygan","45.4839","-84.5953","","","151.9","point","FALSE","FALSE","FALSE","FALSE","America/Detroit","4","49791","1840031688","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FALSE","",""
"Toquin","Toquin","","MI","Michigan","26159","Van Buren","26159","Van Buren","42.2575","-86.2231","","","33.0","point","FALSE","FALSE","FALSE","FALSE","America/Detroit","4","49057","1840127167","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FALSE","",""
"Benton Center","Benton Center","","MI","Michigan","26021","Berrien","26021","Berrien","42.1239","-86.3786","","","73.9","point","FALSE","FALSE","FALSE","FALSE","America/Detroit","4","49022","1840127297","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35660","Niles, MI","TRUE","515","South Bend-Elkhart-Mishawaka, IN-MI"
"Barbeau","Barbeau","","MI","Michigan","26033","Chippewa","26033","Chippewa","46.2886","-84.2811","","","19.7","point","FALSE","FALSE","FALSE","FALSE","America/Detroit","4","49710","1840127290","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42300","Sault Ste. Marie, MI","FALSE","",""
"Balsam","Balsam","","MI","Michigan","26071","Iron","26071","Iron","46.2077","-88.3810","","","3.8","point","FALSE","FALSE","FALSE","FALSE","America/Menominee","5","49920","1840127289","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27020","Iron Mountain, MI-WI","FALSE","361","Marinette-Iron Mountain, WI-MI"
"Beach Grove","Beach Grove","","MI","Michigan","26109","Menominee","26109","Menominee","45.2994","-87.4376","","","21.7","point","FALSE","FALSE","FALSE","FALSE","America/Menominee","4","49858","1840127294","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31940","Marinette, WI-MI","FALSE","361","Marinette-Iron Mountain, WI-MI"
"Bates","Bates","","MI","Michigan","26055","Grand Traverse","26055","Grand Traverse","44.7728","-85.4442","","","14.3","point","FALSE","FALSE","FALSE","FALSE","America/Detroit","4","49690","1840127293","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45900","Traverse City, MI","FALSE","",""
"Beech","Beech","","MI","Michigan","26163","Wayne","26163","Wayne","42.3778","-83.2955","","","796.0","point","FALSE","FALSE","FALSE","FALSE","America/Detroit","4","48239","1840127296","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19820","Detroit-Warren-Dearborn, MI","TRUE","220","Detroit-Warren-Ann Arbor, MI"
"Bear Town","Bear Town","","MI","Michigan","26013","Baraga","26013","Baraga","46.8088","-88.5099","","","4.3","point","FALSE","FALSE","FALSE","FALSE","America/Detroit","5","49908","1840127295","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26340","Houghton, MI","FALSE","",""
"Brighton","Brighton","","GA","Georgia","13277","Tift","13277","Tift","31.5027","-83.4560","","","190.4","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","31794","1840049760","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45700","Tifton, GA","FALSE","",""
"Leapwood","Leapwood","","TN","Tennessee","47109","McNairy","47109","McNairy","35.3059","-88.4562","","","22.3","point","FALSE","FALSE","FALSE","FALSE","America/Chicago","4","38310","1840110044","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27180","Jackson, TN","TRUE","297","Jackson-Brownsville, TN"
"Driftwood Hills","Driftwood Hills","","IN","Indiana","18097","Marion","18097","Marion","39.9170","-86.1222","","","492.2","point","FALSE","FALSE","FALSE","FALSE","America/Indiana/Indianapolis","4","46240","1840054595","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26900","Indianapolis-Carmel-Anderson, IN","TRUE","294","Indianapolis-Carmel-Muncie, IN"
"Leanna","Leanna","","TN","Tennessee","47149","Rutherford","47149","Rutherford","35.9387","-86.4311","","","159.9","point","FALSE","FALSE","FALSE","FALSE","America/Chicago","4","37129","1840110043","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34980","Nashville-Davidson--Murfreesboro--Franklin, TN","TRUE","400","Nashville-Davidson--Murfreesboro, TN"
"Marietta","Marietta","","KS","Kansas","20117","Marshall","20117","Marshall","39.9431","-96.6086","","","1.7","point","FALSE","FALSE","FALSE","FALSE","America/Chicago","5","66518","1840030157","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FALSE","",""
"Shoto","Shoto","","WI","Wisconsin","55071","Manitowoc","55071","Manitowoc","44.1753","-87.6493","","","37.3","point","FALSE","FALSE","FALSE","FALSE","America/Chicago","4","54241","1840124117","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31820","Manitowoc, WI","FALSE","",""
"Shortville","Shortville","","WI","Wisconsin","55019","Clark","55019","Clark","44.4950","-90.5165","","","5.7","point","FALSE","FALSE","FALSE","FALSE","America/Chicago","5","54456","1840124116","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FALSE","",""
"Samaria","Samaria","","MI","Michigan","26115","Monroe","26115","Monroe","41.8081","-83.5783","","","131.1","point","FALSE","FALSE","FALSE","FALSE","America/Detroit","4","48177","1840071230","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33780","Monroe, MI","TRUE","220","Detroit-Warren-Ann Arbor, MI"
"Bon Ami","Bon Ami","","TX","Texas","48241","Jasper","48241","Jasper","30.7135","-93.8827","","","20.9","point","FALSE","FALSE","FALSE","FALSE","America/Chicago","4","75956","1840113501","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FALSE","",""
"Viola","Viola","","MO","Missouri","29209","Stone","29209","Stone","36.5731","-93.5821","","","28.1","point","FALSE","FALSE","FALSE","FALSE","America/Chicago","4","65747","1840077412","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FALSE","",""
"Ridge Lake North","Ridge Lake North","","TN","Tennessee","47065","Hamilton","47065","Hamilton","35.1434","-85.1927","","","573.2","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","37343","1840110468","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16860","Chattanooga, TN-GA","TRUE","174","Chattanooga-Cleveland-Dalton, TN-GA"
"Christy","Christy","","KY","Kentucky","21205","Rowan","21205","Rowan","38.1948","-83.4144","","","282.1","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","40351","1840062707","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FALSE","",""
"The Cross Roads","The Cross Roads","","VA","Virginia","51167","Russell","51167","Russell","36.8429","-82.1571","","","72.4","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","24266","1840118443","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28700","Kingsport-Bristol, TN-VA","TRUE","304","Johnson City-Kingsport-Bristol, TN-VA"
