"city","city_ascii","city_alt","state_id","state_name","county_fips","county_name","county_fips_all","county_name_all","lat","lng","population","population_proper","density","source","military","incorporated","cdp","township","timezone","ranking","zips","id","age_median","age_under_10","age_10_to_19","age_20s","age_30s","age_40s","age_50s","age_60s","age_70s","age_over_80","age_over_65","age_18_to_24","age_over_18","male","female","married","divorced","never_married","widowed","family_size","family_dual_income","income_household_median","income_household_under_5","income_household_5_to_10","income_household_10_to_15","income_household_15_to_20","income_household_20_to_25","income_household_25_to_35","income_household_35_to_50","income_household_50_to_75","income_household_75_to_100","income_household_100_to_150","income_household_150_over","income_household_six_figure","income_individual_median","home_ownership","housing_units","home_value","rent_median","rent_burden","education_less_highschool","education_highschool","education_some_college","education_bachelors","education_graduate","education_college_or_above","education_stem_degree","labor_force_participation","unemployment_rate","race_white","race_black","race_asian","race_native","race_pacific","race_other","race_multiple","hispanic","disabled","poverty","limited_english","commute_time","health_uninsured","veteran","cbsa_fips","cbsa_name","cbsa_metro","csa_fips","csa_name"
"Chartley","Chartley","","MD","Maryland","24005","Baltimore","24005","Baltimore","39.4595","-76.8125","","","3327.3","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","21136","1840068230","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12580","Baltimore-Columbia-Towson, MD","TRUE","548","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
"Crystal Springs","Crystal Springs","","OH","Ohio","39151","Stark","39151","Stark","40.8492","-81.5343","","","125.1","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","44614","1840095015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15940","Canton-Massillon, OH","TRUE","184","Cleveland-Akron-Canton, OH"
"Essex","Essex","","OH","Ohio","39159","Union","39159","Union","40.4826","-83.3158","","","75.8","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","43344","1840095016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18140","Columbus, OH","TRUE","198","Columbus-Marion-Zanesville, OH"
"Ramsey Flats","Ramsey Flats","","VA","Virginia","51051","Dickenson","51051","Dickenson","37.2048","-82.4515","","","13.3","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","24228","1840117306","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FALSE","",""
"Purcell","Purcell","","VA","Virginia","51167","Russell","51167","Russell","36.9307","-82.1351","","","63.1","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","24225","1840117303","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FALSE","",""
"Pyletown","Pyletown","","VA","Virginia","51043","Clarke","51043","Clarke","39.1057","-78.0431","","","11.5","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","22620","1840117304","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","TRUE","548","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
"Raleigh Place","Raleigh Place","","VA","Virginia","51550","Chesapeake","51550","Chesapeake","36.8085","-76.4069","","","978.8","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","23321","1840117305","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47260","Virginia Beach-Norfolk-Newport News, VA-NC","TRUE","545","Virginia Beach-Norfolk, VA-NC"
"Double Adobe","Double Adobe","","AZ","Arizona","04003","Cochise","04003","Cochise","31.4668","-109.6901","","","21.7","point","FALSE","FALSE","FALSE","FALSE","America/Phoenix","4","85617","1840027861","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43420","Sierra Vista-Douglas, AZ","TRUE","",""
"Maple Ridge","Maple Ridge","","IN","Indiana","18097","Marion","18097","Marion","39.6781","-86.2861","","","584.6","point","FALSE","FALSE","FALSE","FALSE","America/Indiana/Indianapolis","4","46221","1840055117","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26900","Indianapolis-Carmel-Anderson, IN","TRUE","294","Indianapolis-Carmel-Muncie, IN"
"Paradise","Paradise","","WA","Washington","53053","Pierce","53053","Pierce","46.7862","-121.7354","","","0.0","point","FALSE","FALSE","FALSE","FALSE","America/Los_Angeles","5","98304","1840120749","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42660","Seattle-Tacoma-Bellevue, WA","TRUE","500","Seattle-Tacoma, WA"
"Terre Coupee","Terre Coupee","","IN","Indiana","18141","St. Joseph","18141","St. Joseph","41.7023","-86.4772","","","26.9","point","FALSE","FALSE","FALSE","FALSE","America/Indiana/Indianapolis","4","46552","1840056234","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43780","South Bend-Mishawaka, IN-MI","TRUE","515","South Bend-Elkhart-Mishawaka, IN-MI"
