"city","city_ascii","city_alt","state_id","state_name","county_fips","county_name","county_fips_all","county_name_all","lat","lng","population","population_proper","density","source","military","incorporated","cdp","township","timezone","ranking","zips","id","age_median","age_under_10","age_10_to_19","age_20s","age_30s","age_40s","age_50s","age_60s","age_70s","age_over_80","age_over_65","age_18_to_24","age_over_18","male","female","married","divorced","never_married","widowed","family_size","family_dual_income","income_household_median","income_household_under_5","income_household_5_to_10","income_household_10_to_15","income_household_15_to_20","income_household_20_to_25","income_household_25_to_35","income_household_35_to_50","income_household_50_to_75","income_household_75_to_100","income_household_100_to_150","income_household_150_over","income_household_six_figure","income_individual_median","home_ownership","housing_units","home_value","rent_median","rent_burden","education_less_highschool","education_highschool","education_some_college","education_bachelors","education_graduate","education_college_or_above","education_stem_degree","labor_force_participation","unemployment_rate","race_white","race_black","race_asian","race_native","race_pacific","race_other","race_multiple","hispanic","disabled","poverty","limited_english","commute_time","health_uninsured","veteran","cbsa_fips","cbsa_name","cbsa_metro","csa_fips","csa_name"
"Haciendas del Lago","Haciendas del Lago","","AZ","Arizona","04013","Maricopa","04013","Maricopa","33.5778","-111.8718","","","1443.5","point","FALSE","FALSE","FALSE","FALSE","America/Phoenix","4","85258","1840035660","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38060","Phoenix-Mesa-Chandler, AZ","TRUE","429","Phoenix-Mesa, AZ"
"Heritage North Ranch","Heritage North Ranch","","AZ","Arizona","04013","Maricopa","04013","Maricopa","33.6389","-111.9326","","","989.5","point","FALSE","FALSE","FALSE","FALSE","America/Phoenix","4","85254","1840035667","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38060","Phoenix-Mesa-Chandler, AZ","TRUE","429","Phoenix-Mesa, AZ"
"Heritage Highlands","Heritage Highlands","","AZ","Arizona","04013","Maricopa","04013","Maricopa","33.6062","-112.0790","","","807.8","point","FALSE","FALSE","FALSE","FALSE","America/Phoenix","4","85029","1840035666","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38060","Phoenix-Mesa-Chandler, AZ","TRUE","429","Phoenix-Mesa, AZ"
"Heritage Court","Heritage Court","","AZ","Arizona","04013","Maricopa","04013","Maricopa","33.5817","-111.8579","","","1345.9","point","FALSE","FALSE","FALSE","FALSE","America/Phoenix","4","85258","1840035665","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38060","Phoenix-Mesa-Chandler, AZ","TRUE","429","Phoenix-Mesa, AZ"
"Heatherbrook","Heatherbrook","","AZ","Arizona","04013","Maricopa","04013","Maricopa","33.3478","-111.8915","","","1520.4","point","FALSE","FALSE","FALSE","FALSE","America/Phoenix","4","85224","1840035664","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38060","Phoenix-Mesa-Chandler, AZ","TRUE","429","Phoenix-Mesa, AZ"
"Mount Braddock","Mount Braddock","","PA","Pennsylvania","42051","Fayette","42051","Fayette","39.9429","-79.6445","","","54.8","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","15465","1840104451","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38300","Pittsburgh, PA","TRUE","430","Pittsburgh-New Castle-Weirton, PA-OH-WV"
"Heritage Terrace","Heritage Terrace","","AZ","Arizona","04013","Maricopa","04013","Maricopa","33.5667","-111.9024","","","1938.4","point","FALSE","FALSE","FALSE","FALSE","America/Phoenix","4","85258","1840035668","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38060","Phoenix-Mesa-Chandler, AZ","TRUE","429","Phoenix-Mesa, AZ"
"Butztown","Butztown","","PA","Pennsylvania","42095","Northampton","42095","Northampton","40.6532","-75.3280","","","1534.1","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","18020","1840104453","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10900","Allentown-Bethlehem-Easton, PA-NJ","TRUE","",""
"Petros","Petros","","OK","Oklahoma","40079","Le Flore","40079","Le Flore","34.8695","-94.6088","","","63.4","point","FALSE","FALSE","FALSE","FALSE","America/Chicago","4","74937","1840097221","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FALSE","",""
"North Matewan","North Matewan","","WV","West Virginia","54059","Mingo","54059","Mingo","37.6265","-82.1482","","","186.9","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","25692","1840121126","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FALSE","",""
"Octavia","Octavia","","OK","Oklahoma","40079","Le Flore","40079","Le Flore","34.5268","-94.7030","","","29.5","point","FALSE","FALSE","FALSE","FALSE","America/Chicago","4","74957","1840034611","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FALSE","",""
