"city","city_ascii","city_alt","state_id","state_name","county_fips","county_name","county_fips_all","county_name_all","lat","lng","population","population_proper","density","source","military","incorporated","cdp","township","timezone","ranking","zips","id","age_median","age_under_10","age_10_to_19","age_20s","age_30s","age_40s","age_50s","age_60s","age_70s","age_over_80","age_over_65","age_18_to_24","age_over_18","male","female","married","divorced","never_married","widowed","family_size","family_dual_income","income_household_median","income_household_under_5","income_household_5_to_10","income_household_10_to_15","income_household_15_to_20","income_household_20_to_25","income_household_25_to_35","income_household_35_to_50","income_household_50_to_75","income_household_75_to_100","income_household_100_to_150","income_household_150_over","income_household_six_figure","income_individual_median","home_ownership","housing_units","home_value","rent_median","rent_burden","education_less_highschool","education_highschool","education_some_college","education_bachelors","education_graduate","education_college_or_above","education_stem_degree","labor_force_participation","unemployment_rate","race_white","race_black","race_asian","race_native","race_pacific","race_other","race_multiple","hispanic","disabled","poverty","limited_english","commute_time","health_uninsured","veteran","cbsa_fips","cbsa_name","cbsa_metro","csa_fips","csa_name"
"Loyalhanna Woodlands Number 2","Loyalhanna Woodlands Number 2","","PA","Pennsylvania","42129","Westmoreland","42129","Westmoreland","40.4523","-79.4628","","","47.8","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","15681","1840102113","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38300","Pittsburgh, PA","TRUE","430","Pittsburgh-New Castle-Weirton, PA-OH-WV"
"Henderson Station","Henderson Station","","PA","Pennsylvania","42121","Venango","42121","Venango","41.2956","-79.9934","","","19.9","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","16153","1840102109","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36340","Oil City, PA","FALSE","",""
"Granville Center","Granville Center","","PA","Pennsylvania","42015","Bradford","42015","Bradford","41.7179","-76.7069","","","19.0","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","16926","1840102107","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42380","Sayre, PA","FALSE","",""
"Hamilton Park","Hamilton Park","","PA","Pennsylvania","42071","Lancaster","42071","Lancaster","40.0348","-76.3291","","","2284.6","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","17603","1840102108","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29540","Lancaster, PA","TRUE","",""
"Hillville","Hillville","","PA","Pennsylvania","42005","Armstrong","42005","Armstrong","41.0306","-79.6000","","","10.6","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","16041","1840102112","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38300","Pittsburgh, PA","TRUE","430","Pittsburgh-New Castle-Weirton, PA-OH-WV"
"Heshbon Park","Heshbon Park","","PA","Pennsylvania","42081","Lycoming","42081","Lycoming","41.2817","-77.0597","","","136.4","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","17701","1840102110","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48700","Williamsport, PA","TRUE","558","Williamsport-Lock Haven, PA"
"Hickorytown","Hickorytown","","PA","Pennsylvania","42091","Montgomery","42091","Montgomery","40.1134","-75.2843","","","307.4","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","19462","1840143906","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","TRUE","428","Philadelphia-Reading-Camden, PA-NJ-DE-MD"
"Scoville","Scoville","","NE","Nebraska","31165","Sioux","31165","Sioux","42.0155","-103.9180","","","5.4","point","FALSE","FALSE","FALSE","FALSE","America/Denver","5","69358","1840078775","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42420","Scottsbluff, NE","FALSE","",""
"Saltillo","Saltillo","","NE","Nebraska","31109","Lancaster","31109","Lancaster","40.7000","-96.6825","","","4.8","point","FALSE","FALSE","FALSE","FALSE","America/Chicago","5","68430","1840078773","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30700","Lincoln, NE","TRUE","339","Lincoln-Beatrice, NE"
"Sanborn","Sanborn","","NE","Nebraska","31057","Dundy","31057","Dundy","40.0536","-102.0202","","","0.4","point","FALSE","FALSE","FALSE","FALSE","America/Denver","5","69030","1840078774","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FALSE","",""
